id,module,term,english,chinese,explain
"C001","总览","LLM","Large Language Model","大语言模型","一种基于大规模文本和代码数据训练的神经网络模型，能够理解、生成和转换自然语言。课程中的所有数据筛选、评估、定制与部署优化，都是围绕如何让 LLM 更适合特定任务展开。"
"C002","总览","Knowledge Enhancement for LLMs","Adding Knowledge to Large Language Models","大语言模型知识增强与模型定制","指通过数据准备、持续预训练、监督微调、偏好优化、检索增强或部署优化等方法，让通用模型更好地掌握特定领域知识、技能或行为风格。"
"C003","总览","End-to-End Workflow","End-to-End Large Language Model Customization Workflow","端到端 LLM 定制工作流","从原始数据收集与清洗开始，经过数据合成、评估、CPT/SFT/DPO 等模型定制，再到量化、剪枝、蒸馏和部署优化的完整流程。"
"C004","总览","Domain Knowledge","Domain-Specific Knowledge","领域知识","某个行业、学科或企业内部特有的事实、术语、流程和规范。通用 LLM 往往缺少最新或私有领域知识，因此需要通过数据和训练策略补充。"
"C005","总览","Customization","Model Customization","模型定制","根据具体应用需求调整模型能力的过程，包括知识注入、技能学习、风格调整、安全对齐和推理效率优化。"
"C006","总览","Model Lifecycle","Large Language Model Development Lifecycle","大语言模型开发生命周期","覆盖数据准备、训练/微调、评估、部署、监控与迭代更新的周期。数据质量和评估体系贯穿整个生命周期。"
"C007","总览","Baseline Model","Baseline Model","基线模型","在定制或优化前作为对照的原始模型。通过与基线比较，可以判断 CPT、SFT、DPO 或部署优化是否真正带来收益。"
"C008","总览","Target Behavior","Target Model Behavior","目标模型行为","希望模型在实际应用中表现出的回答风格、准确性、安全边界和任务执行方式。DPO 等方法常用于使模型行为更接近目标偏好。"
"C009","数据筛选与合成数据","NeMo Curator","NVIDIA NeMo Curator","NeMo 数据筛选与治理工具","用于构建高质量大规模文本数据集的工具链，常见任务包括清洗、过滤、去重、质量打分和隐私信息处理。"
"C010","数据筛选与合成数据","Data Curation","Data Curation","数据筛选/数据治理","对原始数据进行选择、清洗、过滤、去重、标注和组织，使其达到训练或评估模型所需质量标准的过程。"
"C011","数据筛选与合成数据","Data Quality","Data Quality","数据质量","衡量数据是否准确、干净、相关、多样、合规且适合训练目标。高质量数据通常比单纯增加数据规模更能提升模型定制效果。"
"C012","数据筛选与合成数据","Text Cleaning","Text Cleaning","文本清洗","去除乱码、重复符号、HTML 残留、异常换行、模板噪声和无意义内容，使文本更适合模型学习。"
"C013","数据筛选与合成数据","Filtering","Data Filtering","数据过滤","根据质量、主题、语言、长度、安全性或合规规则筛掉不适合训练的数据，减少低质样本对模型的负面影响。"
"C014","数据筛选与合成数据","Deduplication","Data Deduplication","数据去重","识别并删除完全重复或高度相似的数据样本，防止模型过度记忆重复内容，也能降低评估泄漏风险。"
"C015","数据筛选与合成数据","PII","Personally Identifiable Information","个人可识别信息","可直接或间接识别个人身份的信息，如姓名、手机号、邮箱、身份证号、地址等。训练前通常需要检测、脱敏或移除。"
"C016","数据筛选与合成数据","PII Removal","Personally Identifiable Information Removal","个人隐私信息去除","在数据进入训练管线前识别并删除或替换 PII，降低隐私泄露和合规风险。"
"C017","数据筛选与合成数据","Synthetic Data","Synthetic Data","合成数据","由模型、规则或程序生成的数据，用于补充真实样本不足、构建问答对、增强任务覆盖或平衡类别分布。"
"C018","数据筛选与合成数据","QA Pair","Question-Answer Pair","问答对","由问题和对应答案构成的训练样本。SFT 常用高质量问答对让模型学习特定任务的输入输出模式。"
"C019","数据筛选与合成数据","SFT Dataset","Supervised Fine-Tuning Dataset","监督微调数据集","包含指令、输入和理想输出的数据集合，质量直接影响 SFT 后模型的任务执行能力。"
"C020","数据筛选与合成数据","Instruction Data","Instruction-Following Data","指令遵循数据","以“任务说明—模型应答”为核心结构的数据，使模型学会理解用户指令并生成符合要求的输出。"
"C021","数据筛选与合成数据","Data Augmentation","Data Augmentation","数据增强","通过改写、扩充、扰动或合成新样本提升数据多样性，使模型对不同表达形式和边界情况更稳健。"
"C022","数据筛选与合成数据","Data Contamination","Evaluation Data Contamination","评估数据污染","训练数据中含有测试集或基准题目，导致模型评估分数虚高。构建数据集时应检查和隔离评估数据。"
"C023","数据筛选与合成数据","Train/Validation/Test Split","Train, Validation, and Test Split","训练/验证/测试集划分","将数据分为训练模型、调参监控和最终评估三部分，有助于判断模型是否真正泛化，而不是只记住训练样本。"
"C024","数据筛选与合成数据","Metadata","Dataset Metadata","数据集元数据","描述数据来源、主题、语言、时间、许可、质量分数或处理步骤的信息。良好的元数据便于追踪、审计和复现实验。"
"C025","数据筛选与合成数据","Data Lineage","Data Lineage","数据血缘","记录数据从来源、清洗、转换到进入训练集的完整链路，便于发现问题、复现实验和满足合规要求。"
"C026","LLM 评估","Evaluation","Large Language Model Evaluation","大语言模型评估","系统衡量模型能力、局限和风险的过程。课程强调从主观目测走向可量化、可复现、可比较的评估方法。"
"C027","LLM 评估","Benchmark","Benchmark Evaluation","基准测试","使用标准化任务或数据集对模型进行测试，便于横向比较不同模型或不同定制方案的性能。"
"C028","LLM 评估","MMLU","Massive Multitask Language Understanding","大规模多任务语言理解基准","常用的综合知识与推理能力评估基准，覆盖多个学科和任务类型，可用于观察模型通用能力变化。"
"C029","LLM 评估","LLM-as-a-Judge","Large Language Model as a Judge","大模型作为评审者","使用另一个或同一个 LLM 根据评分规则自动评价回答质量，适合评估开放式问答、风格、完整性和偏好，但需要控制评审偏差。"
"C030","LLM 评估","NeMo Evaluator","NVIDIA NeMo Evaluator","NeMo 模型评估微服务","用于比较模型在不同提示、shot 数、任务和实验设置下表现的评估工具，可帮助形成系统化评估流程。"
"C031","LLM 评估","Zero-shot","Zero-Shot Evaluation","零样本评估","不给示例，只给任务指令就要求模型完成任务。它衡量模型在没有上下文示范时的直接泛化能力。"
"C032","LLM 评估","Few-shot","Few-Shot Evaluation","少样本评估","在提示中提供少量示例，让模型模仿示例完成新问题。它常用于检验上下文学习能力。"
"C033","LLM 评估","ICL","In-Context Learning","上下文学习","模型在不更新参数的情况下，通过提示中的说明和示例临时学习任务模式。few-shot prompting 是典型形式。"
"C034","LLM 评估","Metric","Evaluation Metric","评估指标","量化模型表现的标准，如准确率、通过率、胜率、偏好得分、延迟、吞吐量和成本。"
"C035","LLM 评估","Accuracy","Accuracy","准确率","预测正确样本占总样本的比例，适用于有明确标准答案的分类、选择或知识题。"
"C036","LLM 评估","Pass Rate","Pass Rate","通过率","在代码生成、任务执行或综合评估中，模型输出满足测试条件的比例。"
"C037","LLM 评估","ELO","Elo Rating System","ELO 对战评分系统","通过成对比较模型回答的胜负来估计模型相对能力，适合开放式生成结果的偏好排序。"
"C038","LLM 评估","Rubric","Evaluation Rubric","评分细则","明确评价维度、评分标准和扣分规则的文档。LLM-as-a-judge 若没有清晰 rubric，结果容易不稳定。"
"C039","LLM 评估","Human Evaluation","Human Evaluation","人工评估","由人类专家或目标用户对模型回答进行评价，可捕捉自动指标难以衡量的实用性、可信度和风格质量。"
"C040","LLM 评估","A/B Test","A/B Testing","A/B 测试","将两个模型或两个提示方案随机分配给用户或测试样本，比较真实场景中的效果差异。"
"C041","LLM 评估","Regression Test","Regression Test","回归测试","每次模型更新后重复运行固定测试集，确认旧能力没有意外下降，尤其适合企业模型迭代。"
"C042","LLM 评估","MLflow","Machine Learning Flow","机器学习实验管理工具","用于记录实验参数、指标、模型版本和可视化结果，帮助比较不同评估和训练实验。"
"C043","LLM 评估","Experiment Tracking","Experiment Tracking","实验跟踪","系统记录数据版本、训练参数、评估指标和结果文件，使模型开发过程可复现、可比较。"
"C044","LLM 定制","CPT","Continued Pre-Training","持续预训练","在基础模型已有能力之上，继续用领域语料进行语言建模训练，使模型吸收特定领域的新知识和表达方式。"
"C045","LLM 定制","Knowledge Injection","Knowledge Injection","知识注入","通过持续预训练、微调、检索增强或提示工程等方式，让模型能够使用新的、专业的或私有的知识。"
"C046","LLM 定制","Domain Corpus","Domain-Specific Corpus","领域语料库","来自特定领域的文本集合，如医学文献、法律文件、企业文档或技术手册，是 CPT 的关键输入。"
"C047","LLM 定制","Language Modeling Objective","Language Modeling Objective","语言建模目标","训练模型根据上下文预测下一个词或被遮蔽内容的目标函数，是预训练和持续预训练的基础。"
"C048","LLM 定制","SFT","Supervised Fine-Tuning","监督微调","使用有标准答案或理想回复的数据训练模型，使其学会完成特定任务、遵循指令或形成固定输出格式。"
"C049","LLM 定制","Skill Acquisition","Skill Acquisition","技能习得","模型通过 SFT 学会新任务能力，例如特定语言解题、结构化输出、工具调用或专业文本改写。"
"C050","LLM 定制","Instruction Tuning","Instruction Tuning","指令微调","SFT 的一种常见形式，使用大量指令—回答样本训练模型更好地理解用户要求并给出有帮助的回答。"
"C051","LLM 定制","Fine-Tuning","Fine-Tuning","微调","在预训练模型基础上用较小但更有针对性的数据继续训练参数，使模型适应特定任务或风格。"
"C052","LLM 定制","DPO","Direct Preference Optimization","直接偏好优化","一种利用偏好对数据直接优化模型输出偏好的方法，常用于使模型回答风格、语气和安全性更符合人类选择。"
"C053","LLM 定制","Preference Data","Preference Dataset","偏好数据集","通常由同一提示下的较优回答和较差回答组成，用来告诉模型人类更喜欢哪种输出。DPO 依赖这类数据。"
"C054","LLM 定制","Chosen/Rejected Pair","Chosen and Rejected Response Pair","优选/拒选回答对","偏好优化中的核心样本结构：chosen 表示更符合偏好的回答，rejected 表示相对不理想的回答。"
"C055","LLM 定制","Alignment","Model Alignment","模型对齐","使模型输出与人类意图、价值偏好、安全要求和业务规则保持一致的过程。DPO 是一种常见对齐方法。"
"C056","LLM 定制","Tone Control","Tone and Style Control","语气与风格控制","让模型按照正式、非正式、专业、幽默、方言或特定文学风格回答。课程实践中可用 DPO 调整对话风格。"
"C057","LLM 定制","Conversation Style","Conversational Style","对话风格","模型在回答中表现出的语言形式、礼貌程度、详略、句式和角色感。它可以通过偏好数据与 DPO 调整。"
"C058","LLM 定制","NeMo Framework","NVIDIA NeMo Framework","NeMo 框架","用于构建、训练、微调、评估和部署生成式 AI 模型的框架，课程中涉及 NeMo 生态下的定制与评估任务。"
"C059","LLM 定制","NeMo-RL","NVIDIA NeMo Reinforcement Learning","NeMo 强化学习/偏好优化工具","用于模型对齐和偏好优化相关训练的工具组件，可支持 DPO 等对齐任务。"
"C060","LLM 定制","Checkpoint","Model Checkpoint","模型检查点","训练过程中保存的模型参数状态，可用于恢复训练、比较版本或部署某个阶段的模型。"
"C061","LLM 定制","Hyperparameter","Hyperparameter","超参数","训练前设定而非模型自动学习的参数，如学习率、batch size、训练轮数、权重衰减和序列长度。"
"C062","LLM 定制","Learning Rate","Learning Rate","学习率","控制每次参数更新步长的超参数。学习率过高可能不稳定，过低则训练慢或效果不足。"
"C063","LLM 定制","Batch Size","Batch Size","批大小","一次参数更新中使用的样本数量。它影响训练稳定性、显存占用和吞吐量。"
"C064","LLM 定制","Overfitting","Overfitting","过拟合","模型过度记忆训练数据，导致训练集表现好但新数据表现差。小规模 SFT 数据尤其需要警惕过拟合。"
"C065","LLM 定制","Catastrophic Forgetting","Catastrophic Forgetting","灾难性遗忘","模型在学习新知识或新任务后，原有能力明显下降的现象。CPT 和 SFT 都需通过评估监控这一风险。"
"C066","LLM 定制","Tokenization","Tokenization","分词/标记化","将文本切分成模型可处理的 token 序列。不同 tokenizer 会影响文本长度、训练效率和领域术语表达。"
"C067","LLM 定制","Context Window","Context Window","上下文窗口","模型一次能接收和处理的最大 token 长度。长文档任务、few-shot 提示和检索增强都受上下文窗口限制。"
"C068","部署优化","TensorRT-LLM","NVIDIA TensorRT-LLM","TensorRT-LLM 高性能推理优化库","面向 LLM 推理的优化工具，可帮助提升生成速度、降低延迟并提高 GPU 资源利用率。"
"C069","部署优化","Inference","Model Inference","模型推理","模型在部署阶段根据输入生成输出的过程。LLM 推理常关注延迟、吞吐量、显存和成本。"
"C070","部署优化","PTQ","Post-Training Quantization","后训练量化","在模型训练完成后将权重或激活从高精度转换为低精度表示，以降低显存占用和提高推理速度。"
"C071","部署优化","Quantization","Quantization","量化","用较低位宽数值表示模型参数或计算结果，如 FP8、INT8、INT4。量化可提升效率，但可能带来精度损失。"
"C072","部署优化","FP8","8-bit Floating Point","8 位浮点格式","一种低精度浮点表示方式，可在支持硬件上降低内存占用并提升吞吐量，是 LLM 部署优化中的常见选择。"
"C073","部署优化","INT8","8-bit Integer Quantization","8 位整数量化","将模型数值映射为 8 位整数，通常能显著减少模型大小和计算开销，但需要校准以控制精度损失。"
"C074","部署优化","Pruning","Model Pruning","模型剪枝","删除模型中不重要的权重、神经元、注意力头或层，以减小模型规模和加速推理。"
"C075","部署优化","Depth Pruning","Depth Pruning","层级剪枝/深度剪枝","删除整个 Transformer 层以降低模型深度和计算量。优点是结构清晰，风险是可能损失较多能力。"
"C076","部署优化","Knowledge Distillation","Knowledge Distillation","知识蒸馏","训练较小的学生模型模仿较大的教师模型，以在降低推理成本的同时尽量保留性能。"
"C077","部署优化","Teacher Model","Teacher Model","教师模型","在知识蒸馏中提供高质量输出或软标签的大模型，学生模型通过模仿它来学习。"
"C078","部署优化","Student Model","Student Model","学生模型","在知识蒸馏中被训练的小模型，目标是在更低成本下接近教师模型的表现。"
"C079","部署优化","Latency","Inference Latency","推理延迟","从输入请求到模型返回结果所需时间。在线应用通常希望延迟尽可能低。"
"C080","部署优化","Throughput","Inference Throughput","推理吞吐量","单位时间内系统可处理的请求数或生成的 token 数。批处理和推理引擎优化可提高吞吐量。"
"C081","部署优化","Memory Footprint","Memory Footprint","内存/显存占用","模型权重、激活和缓存所占资源。量化、剪枝和蒸馏都可降低显存占用。"
"C082","部署优化","KV Cache","Key-Value Cache","键值缓存","Transformer 推理时缓存历史 token 的注意力键和值，以避免重复计算。长上下文会显著增加 KV Cache 占用。"
"C083","部署优化","Accuracy–Efficiency Trade-off","Accuracy–Efficiency Trade-off","准确率与效率权衡","部署优化常在模型质量、速度、成本和资源占用之间取舍。量化、剪枝和蒸馏都需要评估该权衡。"
"C084","部署优化","Compression","Model Compression","模型压缩","通过量化、剪枝、蒸馏或结构优化减小模型体积和计算量，以便更高效部署。"
"C085","工具与工程","Python","Python Programming Language","Python 编程语言","AI 与数据处理常用编程语言，用于数据清洗、实验脚本、评估流程和模型调用。"
"C086","工具与工程","Jupyter Notebook","Jupyter Notebook","Jupyter 交互式笔记本","用于交互式编程、实验记录和教学演示的开发环境，适合边运行代码边解释结果。"
"C087","工具与工程","Docker","Docker Container Platform","Docker 容器平台","用于封装运行环境、依赖和服务，使实验和部署更可复现。课程中的云端实验环境常依赖类似容器化思想。"
"C088","工具与工程","Microservice","Microservice Architecture","微服务架构","将系统拆分为独立服务，如评估服务、模型服务和数据服务，便于扩展、维护和组合。"
"C089","工具与工程","API","Application Programming Interface","应用程序编程接口","不同软件组件之间交互的约定。模型推理服务、评估服务和数据服务通常通过 API 被调用。"
"C090","工具与工程","GPU","Graphics Processing Unit","图形处理器/加速卡","用于大规模矩阵计算的硬件，是 LLM 训练、微调和高性能推理的重要基础。"
"C091","工具与工程","Cloud Lab","Cloud-Based Lab Environment","云端实验环境","预先配置好计算资源、软件和数据的远程实验平台，学习者可直接进行实践操作。"
"C092","工具与工程","Model Registry","Model Registry","模型注册表","集中管理模型版本、元数据、评估结果和部署状态的系统，便于团队协作和回滚。"
"C093","工具与工程","Reproducibility","Reproducibility","可复现性","在相同数据、代码、环境和参数下能够得到一致结果。实验跟踪、容器化和数据血缘都有助于可复现。"
"C094","工具与工程","Prompt","Prompt","提示词","提供给 LLM 的输入指令、上下文、示例或约束。评估和推理中，提示词变化可能显著影响输出。"
"C095","工具与工程","System Prompt","System Prompt","系统提示词","定义模型角色、规则、安全边界和回答风格的高优先级提示。它是非训练式行为控制的重要手段。"
"C096","工具与工程","Structured Output","Structured Output","结构化输出","要求模型按 JSON、表格、XML 或固定字段输出，便于程序解析和下游系统集成。"
"C097","风险与质量控制","Hallucination","Model Hallucination","模型幻觉","模型生成看似合理但实际错误、无依据或捏造的信息。领域知识注入和严格评估都旨在降低幻觉风险。"
"C098","风险与质量控制","Safety","AI Safety","AI 安全性","确保模型不会输出有害、违法、隐私泄露或不符合规范的内容。偏好优化和安全评估都与此相关。"
"C099","风险与质量控制","Bias","Model Bias","模型偏见","模型在数据或训练过程中继承的系统性倾向，可能导致不公平或不准确输出。数据治理和评估需要关注偏见。"
"C100","风险与质量控制","Privacy","Data Privacy","数据隐私","保护个人或组织敏感信息不被未经授权使用或泄露。PII 去除是隐私保护的基础步骤之一。"
"C101","风险与质量控制","Compliance","Regulatory and Policy Compliance","合规性","模型数据、训练和部署需符合版权、隐私、行业监管和组织政策。企业级定制尤其需要合规审查。"
"C102","风险与质量控制","Robustness","Model Robustness","模型稳健性","模型面对不同表达、噪声输入、边界情况或分布变化时仍保持可靠表现的能力。"
"C103","风险与质量控制","Generalization","Model Generalization","模型泛化能力","模型在未见过的新样本、新任务或新场景上的表现。良好数据划分和测试集评估用于衡量泛化。"
"C104","风险与质量控制","Drift","Data or Model Drift","数据/模型漂移","真实场景输入分布或用户需求随时间变化，导致已部署模型效果下降。需要持续监控和重新评估。"
"C105","风险与质量控制","Versioning","Data and Model Versioning","数据与模型版本管理","记录不同数据集、模型检查点和配置版本，确保能够追踪每次结果来源并支持回滚。"
"C106","风险与质量控制","Guardrail","AI Guardrail","AI 护栏","在模型输入输出前后设置规则、过滤器或检测器，用于控制安全、格式、隐私和业务边界。"