id,type,module,difficulty,knowledge_points,stem,A,B,C,D,E,answer,analysis
Q001,single,课程总览与端到端工作流,基础,end_to_end_workflow;course_goal,《为大语言模型添加知识》课程的核心目标最准确的是哪一项？,只学习如何写提示词，让通用 LLM 回答更长,从原始数据出发，完成数据策展、评估、定制、优化与实践评估的端到端模型定制流程,只学习如何部署 RAG 系统，不涉及模型训练或对齐,主要学习传统机器学习分类器的调参方法,,B,课程大纲明确把主线设计为从原始数据出发，经过 NeMo Curator 数据筛选与合成数据生成、模型评估、CPT/SFT/DPO 定制，再到量化、剪枝、蒸馏等部署优化，最后通过实践评估收尾。因此 B 最完整。A 只涉及提示工程，C 只涉及 RAG，D 与课程主题不符。
Q002,single,课程总览与端到端工作流,基础,cloud_lab_prereq;course_format,关于该课程的学习环境和预备知识，下列说法最符合课程大纲的是哪一项？,无需任何编程基础，只需会使用浏览器,需要熟悉 Python 与 Jupyter notebook，并了解 LLM、深度学习和神经网络基本概念,必须提前在本地安装所有 NVIDIA GPU 驱动和 NeMo 源码,课程完全离线进行，不使用云端实验环境,,B,大纲列出的预备知识包括 Python 编程、Jupyter notebook、LLM 及其应用、深度学习与神经网络基本概念；同时课程模式是讲师授课并使用完全配置的云端实验环境。B 正确。A 低估了先修要求；C 并非课程要求；D 与云端实验环境相矛盾。
Q003,single,课程总览与端到端工作流,基础,course_goal;domain_knowledge_injection,为什么企业场景下常需要“为 LLM 添加知识”？,因为通用 LLM 通常完全没有语言生成能力,因为通用 LLM 的知识可能缺少企业所需的特定、最新或专业信息,因为所有企业问题都只能通过剪枝解决,因为 LLM 只能处理英文，不能处理中文,,B,课程概述指出，LLM 功能强大，但其知识通常是通用的，可能缺乏企业应用所需的特定、最新或专业信息，因此需要增强和定制。B 正确。A、C、D 都是过度化或错误表述。
Q004,single,课程总览与端到端工作流,基础,final_practical_assessment;nemo_rl,课程最终实践评估的代表性任务是什么？,使用 DPO 将 Llama 3.1 8B 调整为特定对话风格，并展示偏好数据准备、NeMo-RL 对齐和最终评估能力,只手写一份关于深度学习历史的论文,训练一个传统线性回归模型预测房价,只比较两个网页搜索引擎的结果数量,,A,大纲的“评估测试和总结”说明，学员将在实践编程任务中使用 DPO 将 Llama 3.1 8B 模型调整为特定对话风格，并展示准备偏好数据集、使用 NeMo-RL 运行对齐任务、评估最终模型的能力。A 正确。
Q005,multiple,课程总览与端到端工作流,基础,end_to_end_workflow;course_goal,按照课程大纲，端到端模型定制工作流通常包含哪些环节？,数据筛选与合成数据生成,模型评估与实验跟踪,CPT、SFT、DPO 等模型定制方法,量化、剪枝、知识蒸馏等部署优化,完全跳过评估，直接上线模型,ABCD,课程主线是数据→评估→定制→部署优化→实践评估。A、B、C、D 都是大纲列出的核心环节。E 错误，课程反复强调严格评估与实践评测。
Q006,multiple,课程总览与端到端工作流,基础,cloud_lab_prereq;course_format,关于课程模式，下列哪些说法正确？,课程为讲师授课,每位学员使用完全配置的云端实验环境进行实战练习,课后一定时间内可以继续访问课件和实验，但实验资源有限额,课程不需要任何浏览器或网络环境,课程语言为中文,ABCE,大纲说明课程时长 8 小时，讲师授课，学员使用云端实验环境，课后 6 个月内可继续访问课件和实验且资源用量有限，课程语言为中文。D 错在课程硬件要求明确需要可联网电脑和最新版 Chrome/Firefox。
Q007,multiple,课程总览与端到端工作流,进阶,course_goal;end_to_end_workflow,判断一个模型定制项目是否符合本课程精神，通常应关注哪些交付物？,清晰的问题定义与成功标准,可审计的数据处理流程,定制方法选择理由，例如为何使用 CPT、SFT 或 DPO,上线前后的评估与失败样例分析,只展示一个成功回答截图即可,ABCD,课程强调真实世界问题的端到端工作流。一个合格项目不仅要能跑，还要能说明问题、数据、方法、评估和部署取舍。E 只展示成功截图，无法证明模型稳健性和可复现性。
Q008,multiple,课程总览与端到端工作流,基础,course_goal;toolchain,课程大纲中明确涉及或使用的工具、库和框架包括哪些？,Python,NVIDIA NeMo,NVIDIA TensorRT-LLM,Docker 与 MLflow,仅限 Microsoft Excel 宏,ABCD,大纲列出的工具、库和框架包括 Python、NVIDIA NeMo、NVIDIA TensorRT-LLM、Docker、MLflow。E 不属于大纲中的工具链。
Q009,single,数据筛选与合成数据生成,基础,nemo_curator;data_quality,NeMo Curator 在课程中的主要作用是什么？,构建大规模高质量数据集并支持数据筛选与合成数据生成,只负责网页前端界面美化,只用于模型推理加速，不处理数据,只用于生成考试证书,,A,课程的数据单元明确要求使用 NVIDIA NeMo Curator 构建大规模高质量数据集，并执行文本清洗、过滤、PII 去除和合成问答对生成。A 正确。
Q010,single,数据筛选与合成数据生成,基础,text_cleaning_filtering;data_quality,在数据筛选阶段，文本清洗和过滤的主要目的是什么？,尽量保留所有噪声，增加训练难度,减少乱码、广告、无关文本、低质量样本等噪声，提高训练数据质量,把所有数据都转换为图片,完全替代模型评估环节,,B,文本清洗和过滤的目标是把原始材料整理成更干净、更可训练、更可审计的数据，减少低质量和无关内容对模型的负面影响。B 正确。A 反向错误；C 与任务无关；D 错在数据处理不能替代评估。
Q011,single,数据筛选与合成数据生成,基础,pii_removal;data_quality,PII 去除在 LLM 数据管线中的主要价值是什么？,提升训练数据隐私合规性，降低泄露个人敏感信息的风险,让模型必须输出更长的回答,自动把所有无标注文本变成偏好数据,保证模型永远不会出现幻觉,,A,PII 指个人可识别信息。训练数据中若包含姓名、电话、邮箱、地址等敏感信息，可能带来隐私和合规风险。PII 去除的价值是降低这种风险。B、C、D 都不是 PII 去除的目标。
Q012,single,数据筛选与合成数据生成,进阶,synthetic_qa;sft_dataset,课程中生成高质量问答对数据的直接用途主要是什么？,用于构建稳健的 SFT 数据集,用于删除 TensorRT-LLM,用于跳过所有人工抽样检查,只用于生成网页标题,,A,大纲明确写到生成高质量的问答对数据，用于构建稳健的 SFT 数据集。A 正确。生成合成数据并不意味着可以跳过质量检查，C 错。
Q013,multiple,数据筛选与合成数据生成,基础,text_cleaning_filtering;pii_removal,下列哪些属于课程中强调的关键数据筛选任务？,文本清洗,过滤低质量样本,PII 去除,生成高质量问答对,把评估结果全部隐藏,ABCD,大纲明确列出文本清洗、过滤、PII 去除以及生成高质量问答对。E 与课程强调的可评估、可跟踪原则相反。
Q014,multiple,数据筛选与合成数据生成,进阶,synthetic_qa;data_quality,关于合成数据，下列哪些说法更合理？,合成问答对可以扩展 SFT 数据覆盖范围,合成数据仍需抽样检查和质量控制,合成数据可以帮助覆盖原始数据中不足的任务形式,合成数据天然全部正确，无需评估,合成数据质量会影响下游微调效果,ABCE,合成数据有助于扩展任务覆盖和构建 SFT 样本，但它不是天然正确的，仍需要质量检查、去重、事实性和格式检查。D 错误。
Q015,multiple,数据筛选与合成数据生成,进阶,nemo_curator;sft_dataset,从原始客服日志构建 SFT 数据集时，合理流程包括哪些步骤？,先清洗无关噪声和格式问题,去除或脱敏个人敏感信息,把日志改写成明确的输入—输出样本,完全保留所有重复样本以增加权重,对生成样本进行抽样复核,ABCE,原始日志通常存在噪声、隐私、冗余和表达不规范等问题。合理流程是清洗、脱敏、去重/过滤、转换为输入—输出样本并抽检。D 错在重复样本可能导致浪费预算、过拟合或偏置放大。
Q016,multiple,数据筛选与合成数据生成,基础,data_quality;end_to_end_workflow,为什么数据质量被视为 LLM 开发生命周期的重要环节？,低质量数据可能让模型学习错误模式,重复和噪声数据会浪费训练资源,隐私信息进入训练集可能带来合规风险,高质量数据有助于后续评估、SFT 和 DPO 更可靠,只要模型足够大，数据质量完全不重要,ABCD,数据质量直接影响训练效果、隐私合规、资源效率和后续评估/定制质量。E 是常见误区：大模型并不能自动抵消低质量数据带来的系统性问题。
Q017,single,大语言模型评估,基础,evaluation_quantitative;end_to_end_workflow,课程为什么强调从“目测”走向系统化量化评估？,因为目测通常缺乏可复现性，难以比较模型版本和定位失败类型,因为量化评估可以保证模型不会犯错,因为目测比任何自动评估都更慢，所以完全无价值,因为评估只需要看模型输出是否足够长,,A,课程评估单元强调全面了解多种评估技术，目的是把主观印象转化为可复现、可比较、可跟踪的指标体系。量化评估不能保证零错误，人工目测也并非完全无价值，但不能作为唯一依据。
Q018,single,大语言模型评估,基础,mmlu;evaluation_quantitative;elo,MMLU 在课程中属于哪类评估工具？,行业标准基准测试，用于评估模型多任务语言理解能力,一种模型剪枝算法,一种浏览器插件,一种数据脱敏方法,,A,大纲列出使用 MMLU 等行业标准基准测试评估模型。MMLU 主要用于评估模型在多学科、多任务问题上的能力。B、C、D 与 MMLU 无关。
Q019,single,大语言模型评估,进阶,llm_as_judge;evaluation_quantitative,LLM-as-a-Judge 最适合补充评估哪类任务？,只有唯一标准答案且可精确匹配的加法题,开放式生成任务中，需综合判断事实性、帮助性、风格或安全性的输出,只用于压缩模型参数,只用于检测 GPU 显存占用,,B,LLM-as-a-Judge 的价值在于开放式生成场景：输出可能没有唯一标准答案，需要按 rubric 判断质量。A 可用精确匹配或规则评估；C、D 与 judge 无关。
Q020,single,大语言模型评估,基础,mlflow;evaluation_quantitative;nemo_evaluator,MLflow 在课程评估环节中的主要作用是什么？,跟踪与可视化评估实验，比较不同模型或配置的结果,替代所有训练数据,删除模型中的某些层,把所有题目自动改成多选题,,A,大纲明确写到使用 MLflow 跟踪与可视化评估实验。它用于记录指标、版本、配置和结果，帮助比较与复盘。B、C、D 都不是 MLflow 在该课程中的用途。
Q021,multiple,大语言模型评估,基础,nemo_evaluator;zero_few_shot,关于 NeMo Evaluator 在课程评估环节中的作用，下列哪些说法正确？,可用于比较 zero-shot 与 few-shot 表现,支持更系统化的模型评估流程,与课程中的自动化评估主题相关,主要用途是手动绘制幻灯片,可作为模型版本比较的一部分,ABCE,大纲明确写到使用 NeMo Evaluator 微服务比较 zero-shot 与 few-shot 表现，并用于严格评估模型性能。D 与课程无关。
Q022,multiple,大语言模型评估,进阶,llm_as_judge;mlflow,设计 LLM-as-a-Judge 评估时，哪些做法更稳妥？,制定清晰的评分 rubric,保留 judge 提示词、模型版本和评分结果,对高风险样本进行人工复核,把 judge 分数当作绝对真理，不再检查失败样本,使用 MLflow 等工具记录实验与对比结果,ABCE,LLM-as-a-Judge 会受到提示、模型、偏差和任务定义影响，因此应有清晰 rubric、版本记录、人工复核和实验跟踪。D 是错误做法。
Q023,multiple,大语言模型评估,基础,mmlu;elo,课程大纲中提到的高级 LLM 评估技术或概念包括哪些？,MMLU 等基准测试,LLM-as-a-Judge,ELO,MLflow 实验跟踪,只看回答是否押韵,ABCD,大纲明确列出 MMLU、LLM-as-a-Judge、ELO、NeMo Evaluator 与 MLflow 等评估相关内容。E 不是通用评估指标。
Q024,multiple,大语言模型评估,进阶,zero_few_shot;evaluation_quantitative,比较 zero-shot 与 few-shot 表现时，应注意哪些问题？,使用相同或可比的评估数据集,记录提示词、示例数量和示例内容,同时观察准确性、格式遵循和失败样例,few-shot 一定总是优于 zero-shot，因此无需评估,把结果纳入实验跟踪，便于版本比较,ABCE,zero-shot/few-shot 对比必须控制变量并记录上下文示例，否则无法复现。few-shot 通常可能提升表现，但并非必然优于 zero-shot，尤其当示例质量差或引入偏差时。D 错误。
Q025,single,持续预训练 CPT,基础,cpt_use_case;domain_knowledge_injection,CPT 最核心的教学定位是什么？,通过大量领域语料继续预训练，为模型注入或强化特定领域知识,通过 chosen/rejected 对直接学习人类偏好,只把模型输出压缩为更短文本,只用于评估模型的多任务能力,,A,CPT 即持续预训练，课程目标是通过 CPT 为 LLM 注入特定领域的新知识。B 更接近 DPO；C 不是 CPT；D 属于评估环节。
Q026,single,持续预训练 CPT,进阶,cpt_use_case;sft_use_case,某团队拥有大量无标注行业白皮书，但几乎没有问答标注数据。若主要问题是模型不懂行业术语，应优先考虑哪种方法？,CPT,DPO,只做 ELO 排名,只做 depth pruning,,A,大量无标注领域语料更适合 CPT，用于改善模型对领域语言和知识分布的掌握。如果主要是任务格式或技能问题，才更偏向 SFT；如果是风格和偏好问题，才更偏向 DPO。
Q027,single,持续预训练 CPT,进阶,catastrophic_forgetting;cpt_use_case,进行 CPT 时需要特别警惕的风险之一是什么？,灾难性遗忘或领域外能力退化,模型无法再读取任何文本,浏览器无法打开网页,所有评估指标必然上升,,A,持续在特定领域数据上训练可能让模型更适合该领域，但也可能损害通用能力或其他领域能力，称为灾难性遗忘/能力退化。B、C 无关，D 是错误乐观假设。
Q028,single,持续预训练 CPT,基础,domain_knowledge_injection;end_to_end_workflow,在端到端工作流中，CPT 通常应放在什么位置理解？,数据准备和基线评估之后，作为模型定制阶段的一种知识注入方法,课程开始前随意执行，完全不需要数据和评估,部署后才第一次考虑,只在证书生成之后使用,,A,课程先强调数据筛选和模型评估，然后进入 LLM 定制。CPT 是定制技术之一，应基于清洗后的领域语料和评估基线开展。A 正确。
Q029,multiple,持续预训练 CPT,进阶,cpt_use_case;domain_knowledge_injection,哪些场景更适合优先考虑 CPT？,模型缺少大量领域术语和背景知识,可获得规模较大的高质量无标注领域语料,主要目标是让模型按固定 JSON 格式输出，但几乎没有知识缺口,需要让模型更熟悉领域文本的语言分布,只想删除模型层数以降低显存,ABD,CPT 的强项是利用无标注领域语料进行领域适配和知识注入。固定输出格式更适合 SFT，删除模型层数是剪枝，不是 CPT。
Q030,multiple,持续预训练 CPT,进阶,catastrophic_forgetting;evaluation_quantitative,为了降低 CPT 后模型退化风险，哪些做法合理？,在 CPT 前建立领域内和领域外评估基线,保留通用能力测试或关键业务回归测试,对 CPT 后模型进行系统评估，而不是只看训练 loss,只要训练数据多，就不需要评估,记录数据版本和训练配置，便于回滚与复现,ABCE,CPT 可能带来领域收益，也可能造成通用能力退化。建立基线、保留回归测试、记录版本并系统评估，是降低风险的基本做法。D 错误。
Q031,multiple,持续预训练 CPT,基础,cpt_use_case;sft_use_case,CPT 与 SFT 的区别可以怎样概括？,CPT 更偏向用无标注领域语料调整知识分布,SFT 更偏向用有监督输入—输出样本教授任务技能,CPT 与 SFT 完全相同，只是名称不同,二者都需要在评估框架下验证收益,SFT 通常可用于学习格式、任务流程或特定输出行为,ABDE,CPT 和 SFT 的输入数据、目标和适用场景不同。CPT 偏知识/领域语料，SFT 偏任务行为/输入输出映射。但无论使用哪种，都应通过评估验证收益。C 错误。
Q032,multiple,持续预训练 CPT,进阶,domain_knowledge_injection;data_quality,准备 CPT 语料时应关注哪些质量问题？,领域相关性,重复率和噪声比例,敏感信息和版权/合规风险,语料是否足以代表目标领域,只要文件越大越好，不需要筛选,ABCD,CPT 语料质量会直接影响模型适配方向。需要关注相关性、重复、噪声、隐私合规和覆盖度。E 是“数据越多越好”的误区。
Q033,single,监督微调 SFT,基础,sft_use_case;prompt_response_chat_format,SFT 的核心目标最准确的是哪一项？,使用有监督输入—输出样本，让模型学习新技能或完成特定任务,只用无标注语料进行领域沉浸,直接删除模型中的层,仅比较 zero-shot 与 few-shot 表现,,A,监督微调使用有监督输入—输出数据，让模型学习如何执行任务、遵循格式或完成技能。B 更接近 CPT；C 是剪枝；D 是评估。
Q034,single,监督微调 SFT,基础,sft_use_case;course_goal,课程大纲中给出的 SFT 示例最接近下列哪一项？,让模型学习新技能，例如用另一种语言解数学题,只降低模型显存占用,只生成 ELO 排名,只删除用户姓名和电话,,A,大纲明确说 SFT 可让模型学习新技能，例如用另一种语言解数学题。B 属于部署优化，C 属于评估，D 属于数据隐私处理。
Q035,single,监督微调 SFT,进阶,validation_generalization;sft_dataset,为什么 SFT 中需要验证集或保留测试集？,用于判断模型是否真正泛化，而不是只记住训练样本,用于增加训练集泄漏，让分数更高,用于替代所有训练数据,用于自动剪掉模型层,,A,SFT 后模型在训练样本上表现好，不代表能泛化到新输入。验证集/测试集可帮助发现过拟合、格式失效或任务覆盖不足。B 是数据泄漏，C、D 不正确。
Q036,single,监督微调 SFT,进阶,prompt_response_chat_format;sft_dataset,把企业 FAQ 直接原样作为 SFT 数据通常不够稳妥，主要原因是什么？,FAQ 往往缺少清晰的用户输入形式、上下文和期望输出规范，需要改写成训练样本,FAQ 中的文字无法被任何模型读取,SFT 不接受任何文本数据,FAQ 只能用于知识蒸馏,,A,SFT 需要明确的输入—输出映射或 chat 格式。FAQ 原文常常没有覆盖真实提问方式、上下文、格式要求和边界样例，因此应整理、改写和抽检。A 正确。
Q037,multiple,监督微调 SFT,基础,prompt_response_chat_format;sft_dataset,适合 SFT 的数据样本通常应具备哪些特征？,明确的输入或用户指令,符合目标任务规范的输出,可解析的结构，例如 prompt-response 或 chat 格式,尽量包含未脱敏个人隐私信息,覆盖常见问题和边界情况,ABCE,SFT 数据应清晰、规范、可解析，并覆盖目标任务多样性。D 错误，隐私信息应处理或脱敏。
Q038,multiple,监督微调 SFT,进阶,sft_use_case;validation_generalization,哪些现象可能提示 SFT 出现过拟合或泛化不足？,训练样本表现很好，但新样本格式经常出错,验证集指标停滞或下降,模型只会复述训练集中相似模板,模型在边界问题上失效,训练 loss 下降，因此一定不存在过拟合,ABCD,过拟合常表现为训练表现好、验证或新样本表现差、模板化严重和边界失败。E 是常见误区，训练 loss 下降不能证明泛化良好。
Q039,multiple,监督微调 SFT,基础,sft_use_case;dpo_use_case,SFT 与 DPO 在模型定制中的关系，哪些说法合理？,SFT 常用于先让模型学会任务和基本输出格式,DPO 常用于在已有能力基础上调整风格、语气、安全性或偏好,DPO 一定能完全替代 SFT,许多项目可以先 SFT，再用 DPO 做偏好对齐,二者都应经过评估验证,ABDE,SFT 偏技能和任务映射，DPO 偏偏好/风格/行为对齐。在很多工程流程中，先 SFT 建立基本能力，再用 DPO 对齐偏好更稳妥。C 错误。
Q040,multiple,监督微调 SFT,进阶,prompt_response_chat_format;mlflow,为了让 SFT 实验可复现，应记录哪些信息？,训练数据版本和划分方式,样本格式和模板,模型、超参数和训练配置,验证集结果与失败样例,只记录最终模型名称，不记录数据,ABCD,SFT 的可复现性依赖数据、格式、模型、超参数和评估记录。MLflow 等工具可用于记录实验。E 信息不足，无法复现。
Q041,single,直接偏好优化 DPO,基础,dpo_use_case;preference_dataset,DPO 最适合解决哪类问题？,使模型在风格、语气、安全性或偏好上更符合目标要求,只用无标注语料扩充领域知识,只把模型参数量变小,只清除训练文本里的电话号码,,A,课程将 DPO 定位为让模型对话风格、语气和安全性更贴近人类偏好。B 是 CPT，C 是部署压缩，D 是数据处理。
Q042,single,直接偏好优化 DPO,基础,chosen_rejected;preference_dataset,DPO 偏好数据中 chosen/rejected 的含义是什么？,同一 prompt 下更符合偏好的回答与较不符合偏好的回答,训练集和测试集的两个文件夹名称,GPU 的两个显存区域,剪枝前后的模型层名称,,A,DPO 依赖成对偏好数据。chosen 是更符合偏好或质量标准的回答，rejected 是较差回答。B、C、D 与偏好数据无关。
Q043,single,直接偏好优化 DPO,进阶,dpo_use_case;sft_use_case,如果模型已经会回答问题，但语气过于随意，不符合企业客服规范，最直接的对齐方法通常是哪一种？,DPO,只做 MMLU,只做 PII 去除,只做 depth pruning,,A,题干中的核心问题是“回答风格/语气不符合偏好”，不是知识缺口或模型过大。DPO 正是用于偏好、风格、语气、安全性等行为对齐。
Q044,single,直接偏好优化 DPO,基础,nemo_rl;final_practical_assessment,课程最终评估中，NeMo-RL 与 DPO 的关系最接近哪一项？,使用 NeMo-RL 运行对齐任务，将模型调成特定对话风格,使用 NeMo-RL 删除个人隐私信息,使用 NeMo-RL 只做网页排版,NeMo-RL 与 DPO 和对齐任务无关,,A,大纲的最终实践要求展示准备偏好数据集、使用 NeMo-RL 运行对齐任务并评估最终模型的能力。A 正确。
Q045,multiple,直接偏好优化 DPO,基础,preference_dataset;chosen_rejected,构建 DPO 偏好数据时，通常需要包含哪些要素？,prompt 或用户输入,chosen 回答,rejected 回答,偏好理由或标注标准,只需要模型参数，不需要文本样本,ABCD,DPO 训练依赖 prompt、chosen、rejected 等成对偏好数据。为了减少噪声，最好记录偏好理由或标注标准。E 错误。
Q046,multiple,直接偏好优化 DPO,进阶,dpo_use_case;llm_as_judge,哪些维度适合作为 DPO 偏好标注的依据？,回答是否符合目标语气,是否更安全、礼貌、专业,是否遵守业务格式要求,是否事实准确且不过度编造,只按回答长度越长越好判断,ABCD,DPO 可用于风格、语气、安全性和偏好对齐，也可结合事实性和格式要求制定偏好标准。单纯按长度判断会引入长度偏差，E 错。
Q047,multiple,直接偏好优化 DPO,进阶,preference_dataset;data_quality,偏好数据质量差会带来哪些风险？,模型学习到混乱或互相矛盾的偏好信号,风格对齐不稳定,安全边界可能被错误强化或削弱,评估结果难以解释,偏好数据质量不会影响 DPO,ABCD,DPO 的训练信号来自偏好对。若标注标准不一致、样本噪声大或 chosen/rejected 差异不清，会直接影响对齐效果和可解释性。E 错误。
Q048,multiple,直接偏好优化 DPO,基础,llama31_style;final_practical_assessment,课程最终 DPO 实践任务通常考察哪些能力？,准备偏好数据集,运行对齐任务,评估最终模型是否呈现目标对话风格,理解 DPO 如何用于风格对齐,只修改网页背景颜色,ABCD,最终评估围绕使用 DPO 将 Llama 3.1 8B 调整为特定对话风格，考察偏好数据准备、NeMo-RL 对齐运行和最终评估能力。E 无关。
Q049,single,为部署优化 LLM,基础,tensorrt_llm;quantization_ptq,TensorRT-LLM 在课程中的主要定位是什么？,用于高性能 LLM 推理和部署优化,只用于写课程讲义,只用于制作偏好标签,只用于删除 PII,,A,课程把 TensorRT-LLM 放在“为部署优化 LLM”环节，重点学习压缩和加速 LLM，以实现高效推理。A 正确。
Q050,single,为部署优化 LLM,基础,quantization_ptq;fp8,课程中 PTQ/FP8 的主要目的是什么？,减少模型尺寸与内存占用，提高推理效率,增加模型参数量，让模型更难部署,替代所有数据筛选任务,只用于生成问答对,,A,大纲说明使用 TensorRT-LLM 应用后训练量化 PTQ，重点使用 FP8 格式，以减少模型尺寸与内存占用。A 正确。
Q051,single,为部署优化 LLM,基础,depth_pruning;performance_accuracy_tradeoff,Depth Pruning 在课程中的含义最接近哪一项？,删除整个层以减小模型规模,把无标注语料改成问答对,让 judge 评分更高,把模型回答改成莎士比亚式英文,,A,大纲明确写到通过层级剪枝（Depth Pruning）删除整个层以减小模型规模。A 正确。D 是最终 DPO 风格任务的示例。
Q052,single,为部署优化 LLM,基础,distillation;performance_accuracy_tradeoff,知识蒸馏在课程中的作用是什么？,训练小型学生模型模仿大型教师模型，以恢复或保留能力,直接去除个人隐私信息,只用于生成 ELO 分数,只用于登录 DLI 平台,,A,大纲写到使用知识蒸馏训练小型“学生”模型模仿大型“教师”模型，以恢复剪枝带来的性能损失。A 正确。
Q053,multiple,为部署优化 LLM,基础,quantization_ptq;tensorrt_llm,课程中的部署优化技术包括哪些？,后训练量化 PTQ,FP8 低精度格式,Depth Pruning,知识蒸馏,完全不评估准确率，只看速度,ABCD,大纲列出的部署优化包括 PTQ、FP8、剪枝和知识蒸馏，并要求权衡性能与准确率。E 与课程要求相反。
Q054,multiple,为部署优化 LLM,进阶,performance_accuracy_tradeoff;evaluation_quantitative,进行部署优化时，为什么必须重新评估模型？,量化可能改变输出质量,剪枝可能造成能力下降,蒸馏后的学生模型需要验证是否保留关键能力,性能提升不一定意味着准确率和风格都保持,只要显存下降，就可以不用评估,ABCD,部署优化本质是质量、速度、显存、成本之间的权衡。量化、剪枝和蒸馏都可能改变模型行为，因此必须回到统一评估框架中验证。E 错误。
Q055,multiple,为部署优化 LLM,进阶,quantization_ptq;fp8,关于 PTQ 与 FP8，下列哪些说法符合课程重点？,PTQ 属于后训练量化，通常不需要完整重新训练,FP8 是课程中特别强调的低精度格式之一,量化可减少模型尺寸和内存占用,量化后不需要再做质量评估,量化常用于提升部署效率,ABCE,大纲强调使用 TensorRT-LLM 应用 PTQ，重点使用 FP8，以减少模型尺寸与内存占用、提高部署效率。D 错误，量化可能带来质量变化。
Q056,multiple,为部署优化 LLM,进阶,depth_pruning;distillation,关于剪枝与蒸馏的配合，下列哪些说法合理？,剪枝可减小模型规模，但可能损失能力,蒸馏可让较小学生模型学习教师模型行为,剪枝后应通过评估确认损失程度,蒸馏一定能完全恢复所有能力,剪枝和蒸馏都属于部署优化思路,ABCE,剪枝可以减小模型，但可能损失性能；蒸馏有助于恢复或保留能力，但不能保证完全恢复。二者都应在评估闭环中使用。D 错误。
Q057,single,综合实践与总结,进阶,end_to_end_workflow;final_practical_assessment,一个完整的课程结课项目最不应缺少哪一项？,清晰说明数据、评估、定制方法、优化取舍和最终失败/成功样例,只展示一张模型回答截图,只报告训练用了几分钟,只写模型名称，不说明任务目标,,A,课程强调端到端定制工作流。结课项目应能说明问题定义、数据处理、评估设计、定制策略、部署优化和结果复盘。B、C、D 都无法体现完整能力。
Q058,single,综合实践与总结,进阶,performance_accuracy_tradeoff;mlflow,如果一个优化版本推理速度更快，但 LLM-as-a-Judge 分数和人工复核均显示风格一致性下降，应如何处理最合理？,回到评估记录，比较速度收益与质量损失，并根据业务底线决定是否回滚或调整优化方案,只要速度更快就必须上线,删除所有失败样例,停止记录实验结果,,A,课程强调部署优化必须权衡性能与准确率/质量，并使用 MLflow 等工具跟踪实验。若质量跌破底线，应回滚或调整，而不是只追求速度。
Q059,single,综合实践与总结,基础,llama31_style;dpo_use_case,把 Llama 3.1 8B 调整为“莎士比亚式英文”等特定风格，主要体现了哪类技术能力？,DPO 风格与偏好对齐,PII 去除,Depth Pruning,MMLU 标准测试,,A,课程最终实践示例是使用 DPO 将模型调整为特定对话风格，这体现了偏好数据和风格对齐能力。B、C、D 属于其他模块。
Q060,single,综合实践与总结,基础,certificate;final_practical_assessment,根据课程大纲，学员在什么情况下可获得 NVIDIA 培训证书？,成功完成课程和测试后,只要打开课程网页就自动获得,只要安装 Docker 即可获得,只要完成一次普通网页搜索即可获得,,A,课程大纲写明成功完成本课程和测试后，学员将获得 NVIDIA 培训证书。A 正确。
Q061,multiple,综合实践与总结,进阶,end_to_end_workflow;data_quality,当最终模型效果不佳时，应优先回溯哪些环节？,数据质量和覆盖度,评估集是否代表真实任务,CPT/SFT/DPO 方法选择是否匹配问题类型,部署优化是否损害了模型能力,只责怪用户提问太复杂，不检查系统,ABCD,课程是闭环工作流。模型效果不佳可能来自数据、评估、方法选择、训练配置或部署优化等多处。E 是推卸责任，不能帮助改进系统。
Q062,multiple,综合实践与总结,进阶,final_practical_assessment;preference_dataset,面向最终 DPO 实践，项目报告中应包含哪些内容？,偏好数据集构造方法,chosen/rejected 的标注标准,对齐任务运行说明,最终模型评估与失败样例,只写“模型效果很好”而无证据,ABCD,最终 DPO 实践不仅要跑通，还要展示偏好数据准备、标注标准、对齐过程和评估结果。E 缺乏证据。
Q063,multiple,综合实践与总结,进阶,toolchain;end_to_end_workflow,如果把课程内容落地为企业模型定制项目，哪些工具/框架可对应关键环节？,NeMo Curator：数据筛选与合成数据,NeMo Evaluator：模型评估,NeMo-RL：偏好对齐实践,TensorRT-LLM：高性能推理优化,MLflow：实验跟踪与可视化,ABCDE,这些工具分别覆盖数据、评估、对齐、部署和实验跟踪，是课程大纲中反复出现的工具链。
Q064,multiple,综合实践与总结,基础,certificate;course_format,关于课程收尾和后续学习，下列哪些说法符合大纲？,课程包含评估测试和总结,成功完成课程和测试后可获得培训证书,大纲还推荐了 LLM 智能体、RAG、提示工程、多模态等后续课程,课程结束不涉及任何实践编程任务,课程强调云端实验环境同步边练,ABCE,大纲最后包含评估测试和总结、证书说明、下一步课程推荐，并强调实战培训和云端实验环境。D 错误，因为最终评估明确包含实践编程任务。
