ID,Category,Front_Term,English_Full_Name,Chinese_Full_Name,Chinese_Explanation
AAI-001,基础概念,AAI,Agentic AI,智能体式人工智能,一种围绕目标自主规划、调用工具、观察结果并迭代完成任务的 AI 系统范式，强调“行动能力”和“流程闭环”，而不只是一次性生成文本。
AAI-002,基础概念,NCP-AAI,NVIDIA-Certified Professional: Agentic AI,NVIDIA 认证专业级：智能体式 AI,NVIDIA 面向智能体式 AI 解决方案设计、开发、部署、监控和治理能力的专业级认证考试。
AAI-003,基础概念,AI Agent,Artificial Intelligence Agent,人工智能智能体,能够感知环境、理解目标、选择行动、调用工具并根据反馈调整下一步行为的软件实体。
AAI-004,基础概念,LLM,Large Language Model,大语言模型,基于大规模文本和多模态数据训练的基础模型，是智能体理解语言、生成计划、调用工具和组织答案的核心推理组件。
AAI-005,基础概念,Foundation Model,Foundation Model,基础模型,经过大规模预训练、可通过提示、微调或工具增强适配多种任务的通用模型。
AAI-006,基础概念,Goal,Goal,目标,智能体试图完成的最终任务或业务结果，例如生成报告、完成审批、检索证据或执行工作流。
AAI-007,基础概念,Environment,Environment,环境,智能体可以观察并采取行动的外部系统，包括网页、文件、数据库、API、企业应用和用户交互界面。
AAI-008,基础概念,Action,Action,行动,智能体为了推进任务而执行的步骤，例如调用搜索工具、读取文件、写入数据库或请求人工确认。
AAI-009,基础概念,Observation,Observation,观察结果,工具调用、环境变化或用户反馈返回给智能体的信息，用于决定后续推理和行动。
AAI-010,基础概念,State,State,状态,任务执行过程中需要保存的上下文，包括当前目标、已完成步骤、工具结果、错误信息和用户选择。
AAI-011,基础概念,Autonomy,Autonomy,自主性,智能体在给定边界内自主拆解任务、选择工具、执行步骤和调整计划的能力。
AAI-012,基础概念,Policy,Policy,策略/规则,约束智能体行为的规则集合，例如工具调用权限、安全边界、输出格式和人工审批条件。
AAI-013,架构与设计,Agent Architecture,Agent Architecture,智能体架构,智能体系统的组件组织方式，通常包括 LLM、工具、记忆、规划器、执行器、状态管理、监控和安全护栏。
AAI-014,架构与设计,Planner,Planner,规划器,负责把复杂目标拆成可执行步骤，并根据中间结果决定下一步行动的组件。
AAI-015,架构与设计,Executor,Executor,执行器,根据规划结果调用工具、执行动作、处理返回值并更新任务状态的组件。
AAI-016,架构与设计,Orchestration,Orchestration,编排,对多步骤任务、工具调用、多智能体协作和状态流转进行组织与控制，使系统能稳定完成复杂工作流。
AAI-017,架构与设计,Stateful Orchestration,Stateful Orchestration,有状态编排,在任务执行过程中持续记录状态，使智能体能恢复上下文、处理分支、避免重复行动并支持长任务执行。
AAI-018,架构与设计,Workflow,Workflow,工作流,由一系列任务节点、条件分支、工具调用和人工审批步骤组成的可执行流程。
AAI-019,架构与设计,ReAct,Reasoning and Acting,推理与行动框架,让智能体在“思考下一步—调用工具—观察结果—更新计划”之间循环，适合需要外部信息和多步执行的任务。
AAI-020,架构与设计,Task Decomposition,Task Decomposition,任务分解,把复杂任务拆成更小、更明确、可验证的子任务，以降低复杂度并提高执行稳定性。
AAI-021,架构与设计,Routing,Routing,路由,根据用户意图、任务类型或系统状态，把请求分派给合适的模型、工具、子流程或智能体。
AAI-022,架构与设计,Decision Tree,Decision Tree,决策树,用条件分支组织智能体行为的结构，适合明确规则驱动的流程控制。
AAI-023,架构与设计,Loop Control,Loop Control,循环控制,通过最大步数、终止条件和错误阈值防止智能体陷入无限重试或多智能体循环。
AAI-024,架构与设计,Termination Condition,Termination Condition,终止条件,判断任务何时完成、何时停止重试或何时转人工处理的规则。
AAI-025,智能体开发,Prompt Engineering,Prompt Engineering,提示词工程,通过设计角色、目标、输入输出格式、约束、示例和工具说明，引导模型稳定完成任务的工程方法。
AAI-026,智能体开发,System Prompt,System Prompt,系统提示词,定义智能体身份、边界、行为规则和优先级的高层指令，通常比用户提示具有更高优先级。
AAI-027,智能体开发,User Prompt,User Prompt,用户提示词,用户向系统提出的具体问题、目标、约束或任务输入。
AAI-028,智能体开发,Few-shot Prompting,Few-shot Prompting,少样本提示,在提示词中提供少量示例，使模型学习期望的输入输出模式和风格。
AAI-029,智能体开发,Zero-shot Prompting,Zero-shot Prompting,零样本提示,不提供示例，直接通过任务说明让模型完成任务的方法。
AAI-030,智能体开发,Dynamic Prompt Chain,Dynamic Prompt Chain,动态提示链,根据任务状态选择不同提示、工具和分支，而不是固定执行同一套步骤。
AAI-031,智能体开发,Structured Output,Structured Output,结构化输出,让模型按照 JSON、表格、字段模板或 schema 输出，便于程序自动解析和后续工具调用。
AAI-032,智能体开发,JSON,JavaScript Object Notation,JavaScript 对象表示法,轻量级数据交换格式，常用于智能体与工具、API、前后端之间传递结构化数据。
AAI-033,智能体开发,JSON Schema,JSON Schema,JSON 模式/结构约束,用于定义 JSON 字段、类型、必填项和格式约束，帮助校验模型输出和函数参数。
AAI-034,智能体开发,Function Calling,Function Calling,函数调用,让模型根据任务生成符合 schema 的函数参数，并触发外部工具或 API 执行实际动作。
AAI-035,智能体开发,Tool Calling,Tool Calling,工具调用,智能体调用搜索、数据库、代码执行、邮件、日历、企业系统等外部能力的机制。
AAI-036,智能体开发,API,Application Programming Interface,应用程序编程接口,软件系统之间进行数据交换和功能调用的接口，是智能体连接外部世界的重要方式。
AAI-037,智能体开发,SDK,Software Development Kit,软件开发工具包,封装 API、示例和工具的开发包，可帮助开发者更容易集成模型、工具或平台服务。
AAI-038,智能体开发,Schema Validation,Schema Validation,模式校验,检查模型输出或工具参数是否符合预定义结构，减少格式错误和下游解析失败。
AAI-039,智能体开发,Idempotency,Idempotency,幂等性,同一操作重复执行不会造成额外副作用，例如不会重复发邮件、重复扣费或重复写入记录。
AAI-040,智能体开发,Retry,Retry,重试机制,当工具或网络出现临时错误时，按规则再次尝试执行，常与最大次数和指数退避配合使用。
AAI-041,智能体开发,Exponential Backoff,Exponential Backoff,指数退避,重试间隔逐步增加的策略，可降低系统拥塞并避免对失败服务持续施压。
AAI-042,智能体开发,Timeout,Timeout,超时控制,限定工具或模型调用的最长等待时间，避免单个步骤阻塞整个智能体流程。
AAI-043,智能体开发,Fallback,Fallback,降级/备用方案,当主模型、主工具或主路径失败时，切换到备用模型、缓存结果、人工处理或安全回答。
AAI-044,智能体开发,Circuit Breaker,Circuit Breaker,熔断器,当某个服务持续失败时临时停止调用，保护系统免于反复失败和资源浪费。
AAI-045,智能体开发,Multimodal Agent,Multimodal Agent,多模态智能体,能够处理文本、图像、音频、视频或结构化数据，并综合不同模态信息完成任务的智能体。
AAI-046,智能体开发,OCR,Optical Character Recognition,光学字符识别,把图片或扫描件中的文字转换为机器可处理文本的技术，常用于文档理解智能体。
AAI-047,智能体开发,STT,Speech-to-Text,语音转文本,将语音内容转写为文本，常用于会议助手、客服助手和语音交互智能体。
AAI-048,智能体开发,TTS,Text-to-Speech,文本转语音,把文本生成自然语音，用于语音助手和多模态交互场景。
AAI-049,认知、规划与记忆,Memory,Memory,记忆,智能体保存和检索上下文、用户偏好、历史任务和知识的能力，是持续完成多轮任务的基础。
AAI-050,认知、规划与记忆,Short-term Memory,Short-term Memory,短期记忆,当前会话或当前任务中的上下文信息，例如用户刚刚说过的约束、工具返回结果和当前步骤。
AAI-051,认知、规划与记忆,Long-term Memory,Long-term Memory,长期记忆,跨会话保存的用户偏好、项目历史、组织知识或经验信息，需要权限、更新和过期管理。
AAI-052,认知、规划与记忆,Context Window,Context Window,上下文窗口,模型一次推理可接收的最大输入范围；它不是长期记忆，超出窗口的信息会被截断或压缩。
AAI-053,认知、规划与记忆,Token,Token,词元,模型处理文本的基本单位，可近似理解为词、字或子词片段；成本和上下文长度通常按 token 计算。
AAI-054,认知、规划与记忆,Semantic Memory,Semantic Memory,语义记忆,保存概念、事实和知识的记忆形式，常通过向量数据库或知识库实现。
AAI-055,认知、规划与记忆,Episodic Memory,Episodic Memory,情节记忆,保存曾经发生过的任务、对话和事件记录，便于回顾历史上下文。
AAI-056,认知、规划与记忆,Procedural Memory,Procedural Memory,程序性记忆,保存如何执行某类任务的步骤、SOP 或工作流规则。
AAI-057,认知、规划与记忆,Memory Write Policy,Memory Write Policy,记忆写入策略,决定哪些信息值得保存到长期记忆、何时保存、是否需要用户确认以及如何避免记忆污染。
AAI-058,认知、规划与记忆,Memory Retrieval,Memory Retrieval,记忆检索,从历史记忆中找到与当前任务相关的信息，并按权限、时间、相关性和可信度筛选。
AAI-059,认知、规划与记忆,Reflection,Reflection,反思机制,智能体在完成一个步骤或任务后检查结果、识别错误并调整下一步计划的机制。
AAI-060,认知、规划与记忆,Replanning,Replanning,重新规划,当环境变化、工具失败或中间结果不符合预期时，重新制定任务执行路径。
AAI-061,认知、规划与记忆,Chain-of-Thought,Chain of Thought,思维链,一种让模型进行分步推理的提示思想；在生产系统中通常应转化为可验证的步骤、摘要或决策依据，而不一定暴露完整内部推理。
AAI-062,多智能体协作,MAS,Multi-Agent System,多智能体系统,由多个角色明确、能力互补的智能体协同完成复杂任务的系统。
AAI-063,多智能体协作,Supervisor Agent,Supervisor Agent,监督者智能体,负责拆解任务、分配工作、检查结果和协调多个 worker 的上层智能体。
AAI-064,多智能体协作,Worker Agent,Worker Agent,工作者智能体,负责完成监督者分配的具体子任务，例如检索、写作、验证、代码执行等。
AAI-065,多智能体协作,Planner-Executor Pattern,Planner-Executor Pattern,规划器—执行器模式,由规划器制定任务步骤，执行器负责调用工具和落实步骤的常见智能体架构。
AAI-066,多智能体协作,Critic Agent,Critic Agent,批判/审查智能体,负责发现错误、审查结果、提出修改建议或评估输出质量的智能体。
AAI-067,多智能体协作,Tool Specialist,Tool Specialist Agent,工具专家智能体,专门负责某类工具或系统交互的智能体，例如数据库专家、搜索专家或代码执行专家。
AAI-068,多智能体协作,Communication Protocol,Communication Protocol,通信协议,规定智能体之间如何传递任务、状态、证据、结果和错误信息的格式与规则。
AAI-069,多智能体协作,Role Boundary,Role Boundary,角色边界,明确每个智能体能做什么、不能做什么，防止重复工作、权限越界和责任混乱。
AAI-070,多智能体协作,Task Delegation,Task Delegation,任务委派,监督者或编排器把子任务分配给最合适的智能体、工具或流程。
AAI-071,多智能体协作,Consensus,Consensus,共识机制,多个智能体对同一问题给出判断后，通过投票、评分或审查达成更可靠结论的方法。
AAI-072,知识整合与 RAG,RAG,Retrieval-Augmented Generation,检索增强生成,先从外部知识库检索相关证据，再让模型基于证据生成答案的方法，可降低幻觉并增强领域知识。
AAI-073,知识整合与 RAG,Embedding,Embedding,向量嵌入,把文本、图像或其他对象转换为数值向量，使系统能够计算语义相似度。
AAI-074,知识整合与 RAG,Vector Database,Vector Database,向量数据库,用于存储和检索向量嵌入的数据库，支持按语义相似度快速查找相关内容。
AAI-075,知识整合与 RAG,Chunking,Chunking,文档切分,把长文档切成适合检索和上下文输入的小片段；切分大小和重叠会显著影响 RAG 质量。
AAI-076,知识整合与 RAG,Top-k Retrieval,Top-k Retrieval,Top-k 检索,从知识库中返回相似度最高的 k 个候选片段，常用于控制召回数量和上下文长度。
AAI-077,知识整合与 RAG,Reranker,Reranker,重排序器,在初步检索后重新评估候选文档与问题的相关性，提高最终进入上下文的证据质量。
AAI-078,知识整合与 RAG,Metadata Filtering,Metadata Filtering,元数据过滤,根据来源、时间、权限、主题、作者等元数据筛选检索结果，提升准确性和合规性。
AAI-079,知识整合与 RAG,Hybrid Search,Hybrid Search,混合检索,结合关键词检索和向量检索，兼顾精确匹配和语义匹配。
AAI-080,知识整合与 RAG,BM25,Best Matching 25,BM25 关键词排序算法,经典关键词检索排序算法，适合精确术语、编号、缩写和标题匹配。
AAI-081,知识整合与 RAG,Semantic Search,Semantic Search,语义检索,根据语义相似度而非字面关键词匹配检索内容，适合表达方式不同但含义相近的问题。
AAI-082,知识整合与 RAG,Index,Index,索引,为了加速检索而建立的数据结构，可用于关键词检索、向量检索或混合检索。
AAI-083,知识整合与 RAG,ETL,"Extract, Transform, Load",抽取、转换、加载,把外部数据抽取出来，经过清洗、规范化和转换后加载到数据库、向量库或知识库中的流程。
AAI-084,知识整合与 RAG,Data Cleaning,Data Cleaning,数据清洗,处理重复、缺失、格式错误、过期内容和噪声数据，以提升智能体检索与回答质量。
AAI-085,知识整合与 RAG,Data Lineage,Data Lineage,数据血缘,记录数据从来源到处理、转换、入库和使用的全过程，便于审计、追踪和排错。
AAI-086,知识整合与 RAG,Knowledge Graph,Knowledge Graph,知识图谱,用实体和关系表示知识的结构化网络，适合关系推理、依赖分析和实体关联查询。
AAI-087,知识整合与 RAG,Entity,Entity,实体,知识图谱中的对象，例如人、机构、论文、模型、数据集、疾病、工具或项目。
AAI-088,知识整合与 RAG,Relation,Relation,关系,知识图谱中连接实体的边，例如“作者属于机构”“论文使用数据集”“工具依赖服务”。
AAI-089,知识整合与 RAG,Graph Traversal,Graph Traversal,图遍历,沿着知识图谱中的实体和关系进行查询，用于发现间接关系、路径和依赖。
AAI-090,评估与调优,Evaluation,Evaluation,评估,用标准化任务、指标和测试集衡量智能体的准确性、稳定性、安全性、成本和用户体验。
AAI-091,评估与调优,Benchmark,Benchmark,基准测试,用于比较不同模型、提示词、工具链或系统版本表现的一组标准任务和指标。
AAI-092,评估与调优,Task Success Rate,Task Success Rate,任务成功率,智能体完成用户目标的比例，是衡量端到端能力的重要指标。
AAI-093,评估与调优,Accuracy,Accuracy,准确率,正确结果占所有结果的比例，适合有明确标准答案的任务。
AAI-094,评估与调优,Precision,Precision,精确率,系统返回结果中真正相关或正确的比例，适合衡量误报情况。
AAI-095,评估与调优,Recall,Recall,召回率,所有相关结果中被系统成功找到的比例，适合衡量漏报情况。
AAI-096,评估与调优,F1 Score,F1 Score,F1 分数,精确率和召回率的调和平均，用于平衡误报与漏报。
AAI-097,评估与调优,MRR,Mean Reciprocal Rank,平均倒数排名,衡量第一个正确检索结果排名位置的指标，常用于检索系统评估。
AAI-098,评估与调优,NDCG,Normalized Discounted Cumulative Gain,归一化折损累计增益,衡量排序结果质量的指标，越相关的结果排在越前面得分越高。
AAI-099,评估与调优,Hallucination Rate,Hallucination Rate,幻觉率,模型生成无依据、与证据冲突或事实错误内容的比例。
AAI-100,评估与调优,Latency,Latency,延迟,用户发起请求到系统返回结果所需时间，常分为首 token 延迟和总响应时间。
AAI-101,评估与调优,Throughput,Throughput,吞吐量,系统单位时间内可处理的请求数或 token 数。
AAI-102,评估与调优,QPS,Queries Per Second,每秒查询数,系统每秒可处理的请求数量，是衡量服务承载能力的常用指标。
AAI-103,评估与调优,Tokens per Second,Tokens per Second,每秒生成词元数,模型推理速度指标，用于衡量大模型输出性能。
AAI-104,评估与调优,Cost per Query,Cost per Query,单次查询成本,一次用户请求消耗的 token、GPU、工具调用或云资源成本。
AAI-105,评估与调优,A/B Testing,A/B Testing,A/B 测试,把用户流量分配给不同系统版本，比较真实使用场景下的表现差异。
AAI-106,评估与调优,Regression Testing,Regression Testing,回归测试,更新模型、提示词、检索或工具后，验证历史能力没有退化的测试流程。
AAI-107,评估与调优,Eval Dataset,Evaluation Dataset,评估数据集,用于测试智能体能力的代表性样本集合，应覆盖正常任务、边界条件、失败场景和安全场景。
AAI-108,评估与调优,Human Evaluation,Human Evaluation,人工评估,由领域专家或用户根据标准对智能体输出进行评分、审查或标注。
AAI-109,评估与调优,LLM-as-a-Judge,Large Language Model as a Judge,大模型作为评审器,用另一个模型辅助评估输出质量的方法，适合规模化评测，但仍需要抽样人工校准。
AAI-110,部署与扩展,Deployment,Deployment,部署,把智能体系统从开发环境发布到可供真实用户访问的生产环境。
AAI-111,部署与扩展,Docker,Docker,Docker 容器平台,用于把应用及其依赖封装为容器，保证不同环境中的运行一致性。
AAI-112,部署与扩展,Container,Container,容器,轻量级运行环境，封装代码、依赖和配置，便于部署、迁移和扩展。
AAI-113,部署与扩展,Kubernetes,Kubernetes,Kubernetes 容器编排系统,用于管理容器集群，支持服务发现、弹性伸缩、滚动更新和故障恢复。
AAI-114,部署与扩展,Pod,Pod,Pod,Kubernetes 中最小调度单元，可包含一个或多个紧密关联的容器。
AAI-115,部署与扩展,Service,Service,服务,在 Kubernetes 中为一组 Pod 提供稳定访问入口和负载分发。
AAI-116,部署与扩展,Ingress,Ingress,入口路由,管理外部流量进入 Kubernetes 集群的规则，常用于域名、路径和 TLS 配置。
AAI-117,部署与扩展,Load Balancer,Load Balancer,负载均衡器,把请求分配到多个服务实例，提高系统吞吐、可用性和容错能力。
AAI-118,部署与扩展,Autoscaling,Autoscaling,自动扩缩容,根据流量、CPU、GPU、队列长度等指标自动增加或减少服务副本。
AAI-119,部署与扩展,Horizontal Scaling,Horizontal Scaling,水平扩展,通过增加服务实例数量提升系统处理能力。
AAI-120,部署与扩展,CI/CD,Continuous Integration / Continuous Delivery,持续集成/持续交付,通过自动测试、构建和部署流水线加快迭代并降低发布风险。
AAI-121,部署与扩展,MLOps,Machine Learning Operations,机器学习运维,围绕模型训练、部署、监控、版本管理和持续改进的工程实践。
AAI-122,部署与扩展,AgentOps,Agent Operations,智能体运维,专门面向智能体系统的运维实践，关注规划轨迹、工具调用、记忆、检索、安全和任务成功率。
AAI-123,部署与扩展,Model Registry,Model Registry,模型注册库,集中管理模型版本、元数据、部署状态和回滚信息的系统。
AAI-124,部署与扩展,Version Control,Version Control,版本控制,记录代码、提示词、模型、检索配置和工具 schema 变化，支持审计、回滚和协作。
AAI-125,部署与扩展,Blue-Green Deployment,Blue-Green Deployment,蓝绿部署,同时维护两个生产环境，通过切换流量实现低风险发布和快速回滚。
AAI-126,部署与扩展,Canary Release,Canary Release,金丝雀发布/灰度发布,先让少量用户使用新版本，观察指标稳定后再逐步扩大流量。
AAI-127,部署与扩展,Rollback,Rollback,回滚,当新版本出现问题时快速恢复到稳定旧版本的操作。
AAI-128,部署与扩展,High Availability,High Availability,高可用,通过冗余、负载均衡、故障恢复和监控保证系统持续可用。
AAI-129,部署与扩展,Fault Tolerance,Fault Tolerance,容错能力,系统在部分组件失败时仍能继续提供服务或优雅降级的能力。
AAI-130,NVIDIA 平台,NIM,NVIDIA Inference Microservices,NVIDIA 推理微服务,NVIDIA 用于部署生成式 AI 模型的微服务方案，提供标准 API、优化推理运行时和生产级部署能力。
AAI-131,NVIDIA 平台,NeMo,NVIDIA NeMo,NVIDIA NeMo 框架,NVIDIA 面向生成式 AI 和大模型训练、定制、评估、部署相关工作流的工具生态。
AAI-132,NVIDIA 平台,NeMo Guardrails,NVIDIA NeMo Guardrails,NVIDIA NeMo 护栏,用于为 LLM 应用定义输入、输出、对话、检索和执行规则的安全与控制框架。
AAI-133,NVIDIA 平台,Input Rail,Input Rail,输入护栏,在用户输入进入模型前检查越狱、恶意请求、敏感信息或不合规内容。
AAI-134,NVIDIA 平台,Output Rail,Output Rail,输出护栏,在模型输出给用户前检查幻觉、有害内容、隐私泄露或格式违规。
AAI-135,NVIDIA 平台,Dialog Rail,Dialog Rail,对话护栏,控制对话流程、意图路由、状态转移和下一步动作的规则。
AAI-136,NVIDIA 平台,Retrieval Rail,Retrieval Rail,检索护栏,控制和检查检索阶段的 query、结果来源、权限和内容合规性。
AAI-137,NVIDIA 平台,Execution Rail,Execution Rail,执行护栏,在工具调用或行动执行前后检查权限、参数、安全风险和审批条件。
AAI-138,NVIDIA 平台,Triton,NVIDIA Triton Inference Server,NVIDIA Triton 推理服务器,NVIDIA 的推理服务软件，可统一部署和服务多框架 AI 模型，支持高性能生产推理。
AAI-139,NVIDIA 平台,TensorRT-LLM,NVIDIA TensorRT-LLM,NVIDIA TensorRT-LLM,用于在 NVIDIA GPU 上优化大语言模型推理性能的库，关注低延迟和高吞吐。
AAI-140,NVIDIA 平台,GPU,Graphics Processing Unit,图形处理器,适合大规模并行计算的加速硬件，是大模型训练和推理的重要基础。
AAI-141,NVIDIA 平台,CUDA,Compute Unified Device Architecture,统一计算设备架构,NVIDIA 的并行计算平台和编程模型，使软件能利用 GPU 加速计算。
AAI-142,NVIDIA 平台,Inference Microservice,Inference Microservice,推理微服务,把模型推理能力封装为可通过 API 调用的独立服务，便于扩展、监控和集成。
AAI-143,运行、监控与维护,Observability,Observability,可观测性,通过日志、指标、链路追踪和事件记录理解系统内部状态并快速定位问题的能力。
AAI-144,运行、监控与维护,Logging,Logging,日志记录,记录请求、工具调用、错误、输出和安全事件，支持调试、审计和根因分析。
AAI-145,运行、监控与维护,Trace,Trace,链路追踪,记录一次请求经过的多个步骤、服务和工具调用路径，帮助定位失败发生的位置。
AAI-146,运行、监控与维护,Telemetry,Telemetry,遥测数据,系统自动收集的运行指标、事件和行为数据，用于监控、评估和优化。
AAI-147,运行、监控与维护,Dashboard,Dashboard,监控仪表板,集中展示延迟、错误率、成本、工具调用、任务成功率和安全拦截等指标的界面。
AAI-148,运行、监控与维护,RCA,Root Cause Analysis,根因分析,系统性追踪问题产生的真正原因，而不是只处理表面错误。
AAI-149,运行、监控与维护,Alerting,Alerting,告警,当错误率、延迟、成本、安全事件或任务失败率超过阈值时自动通知相关人员。
AAI-150,运行、监控与维护,SLA,Service Level Agreement,服务等级协议,对可用性、响应时间等服务质量作出的正式承诺。
AAI-151,运行、监控与维护,SLO,Service Level Objective,服务等级目标,内部或外部定义的可量化服务目标，例如 99.9% 可用性或 2 秒内响应。
AAI-152,运行、监控与维护,Incident Response,Incident Response,故障响应,发现生产问题后进行告警、分级、止损、修复、复盘和改进的流程。
AAI-153,运行、监控与维护,Drift,Drift,漂移,模型输入、用户行为、数据分布或任务类型随时间变化，导致系统表现下降的现象。
AAI-154,运行、监控与维护,Prompt Versioning,Prompt Versioning,提示词版本管理,记录和管理提示词变更，确保可以比较、回滚和审计不同版本效果。
AAI-155,安全、伦理与合规,Guardrails,Guardrails,安全护栏,限制智能体输入、输出、检索和工具执行行为的规则与检测机制，用于降低安全、合规和质量风险。
AAI-156,安全、伦理与合规,RBAC,Role-Based Access Control,基于角色的访问控制,根据用户角色授予不同资源、工具和数据权限，避免越权访问。
AAI-157,安全、伦理与合规,Least Privilege,Principle of Least Privilege,最小权限原则,只给用户或智能体完成任务所需的最低权限，减少误操作和攻击面。
AAI-158,安全、伦理与合规,Audit Trail,Audit Trail,审计轨迹,记录谁在何时因什么请求执行了什么操作，便于追责、合规和安全调查。
AAI-159,安全、伦理与合规,PII,Personally Identifiable Information,个人可识别信息,可直接或间接识别个人身份的信息，例如姓名、邮箱、身份证号、地址或电话。
AAI-160,安全、伦理与合规,Data Masking,Data Masking,数据脱敏,隐藏或替换敏感信息，使系统在处理数据时降低隐私泄露风险。
AAI-161,安全、伦理与合规,Content Moderation,Content Moderation,内容审核,检测和处理有害、违法、歧视、暴力、隐私泄露或不适当内容的机制。
AAI-162,安全、伦理与合规,Jailbreak,Jailbreak,越狱攻击,诱导模型违反系统规则或安全边界的提示攻击方式。
AAI-163,安全、伦理与合规,Prompt Injection,Prompt Injection,提示注入,把恶意指令嵌入用户输入、网页或文档，诱导智能体忽略原规则或执行越权操作的攻击。
AAI-164,安全、伦理与合规,Tool Permission,Tool Permission,工具权限,控制智能体是否能调用某个工具、调用哪些参数以及是否需要人工确认的权限机制。
AAI-165,安全、伦理与合规,Approval Workflow,Approval Workflow,审批流程,在高风险操作执行前引入人工确认或多级审批，降低误操作和合规风险。
AAI-166,安全、伦理与合规,Bias Mitigation,Bias Mitigation,偏见缓解,通过数据、评估、规则和人工审查减少模型对群体或个体产生不公平输出的措施。
AAI-167,安全、伦理与合规,Compliance,Compliance,合规,系统遵守法律法规、行业标准、企业政策、隐私要求和数据使用许可的状态。
AAI-168,安全、伦理与合规,License Compliance,License Compliance,许可证合规,确认模型、数据、代码和第三方服务的使用方式符合其许可证和使用条款。
AAI-169,人机交互与监督,HITL,Human-in-the-Loop,人在回路/人工参与,在关键节点让人类参与审批、纠正、评估或接管，适合高风险、高价值或不确定任务。
AAI-170,人机交互与监督,User Feedback,User Feedback,用户反馈,用户对智能体输出的评分、修改、投诉或行为信号，可用于评估和持续改进。
AAI-171,人机交互与监督,Feedback Loop,Feedback Loop,反馈闭环,把用户反馈、人工评审和运行数据转化为系统改进的持续流程。
AAI-172,人机交互与监督,Explainability,Explainability,可解释性,让用户理解系统依据什么信息、采取了哪些步骤、为何给出某个结论的能力。
AAI-173,人机交互与监督,Transparency,Transparency,透明性,向用户展示关键证据、数据来源、工具调用、限制条件和置信信息，以增强信任。
AAI-174,人机交互与监督,Accountability,Accountability,问责性,明确系统行为、人工决策、数据来源和操作记录的责任归属。
AAI-175,人机交互与监督,Human Override,Human Override,人工覆盖/人工接管,当智能体不确定、出错或遇到高风险情况时，人类可以中断、修改或接管流程。
AAI-176,人机交互与监督,Confirmation UI,Confirmation User Interface,确认界面,在发送邮件、删除数据、写入系统等高风险操作前让用户确认具体内容和后果的界面。
