Front,Back,English Full Name,Chinese Full Name,Meaning,Category,Note
AI,英文全称：Artificial Intelligence<br>中文全称：人工智能<br>含义：让计算机系统执行感知、推理、生成、决策等智能任务的技术总称。<br>类别：课程与 AI 基础<br>备注：严格缩写,Artificial Intelligence,人工智能,让计算机系统执行感知、推理、生成、决策等智能任务的技术总称。,课程与 AI 基础,严格缩写
DLI,英文全称：Deep Learning Institute<br>中文全称：深度学习学院 / 深度学习培训机构<br>含义：NVIDIA 的官方培训体系，课程来自 NVIDIA DLI。<br>类别：课程与 AI 基础<br>备注：严格缩写,Deep Learning Institute,深度学习学院 / 深度学习培训机构,NVIDIA 的官方培训体系，课程来自 NVIDIA DLI。,课程与 AI 基础,严格缩写
BAAMM,英文全称：Building AI Agents with Multimodal Models<br>中文全称：使用多模态模型构建 AI 智能体<br>含义：本课程标题的缩写式代号，指用多模态模型构建 AI Agent 的课程主题。<br>类别：课程与 AI 基础<br>备注：课程缩写,Building AI Agents with Multimodal Models,使用多模态模型构建 AI 智能体,本课程标题的缩写式代号，指用多模态模型构建 AI Agent 的课程主题。,课程与 AI 基础,课程缩写
ML,英文全称：Machine Learning<br>中文全称：机器学习<br>含义：AI 的重要分支，让模型从数据中学习规律并进行预测、分类或生成。<br>类别：课程与 AI 基础<br>备注：严格缩写,Machine Learning,机器学习,AI 的重要分支，让模型从数据中学习规律并进行预测、分类或生成。,课程与 AI 基础,严格缩写
DL,英文全称：Deep Learning<br>中文全称：深度学习<br>含义：基于深层神经网络的机器学习方法，是现代多模态模型的重要基础。<br>类别：课程与 AI 基础<br>备注：严格缩写,Deep Learning,深度学习,基于深层神经网络的机器学习方法，是现代多模态模型的重要基础。,课程与 AI 基础,严格缩写
NN,英文全称：Neural Network<br>中文全称：神经网络<br>含义：由多层可训练参数组成的模型结构，用于表示、分类、生成或预测。<br>类别：课程与 AI 基础<br>备注：严格缩写,Neural Network,神经网络,由多层可训练参数组成的模型结构，用于表示、分类、生成或预测。,课程与 AI 基础,严格缩写
API,英文全称：Application Programming Interface<br>中文全称：应用程序编程接口<br>含义：程序之间相互调用服务的接口，例如调用 OCR、LLM、VLM 或 NIM 服务。<br>类别：课程与 AI 基础<br>备注：严格缩写,Application Programming Interface,应用程序编程接口,程序之间相互调用服务的接口，例如调用 OCR、LLM、VLM 或 NIM 服务。,课程与 AI 基础,严格缩写
UI,英文全称：User Interface<br>中文全称：用户界面<br>含义：用户与系统交互的界面，例如视频问答系统或刷题系统的网页界面。<br>类别：课程与 AI 基础<br>备注：严格缩写,User Interface,用户界面,用户与系统交互的界面，例如视频问答系统或刷题系统的网页界面。,课程与 AI 基础,严格缩写
Q&A / QA,英文全称：Question and Answering / Question Answering<br>中文全称：问答<br>含义：系统根据文本、图像、视频或检索结果回答用户问题。本讲义中 QA 主要指问答，而不是 Quality Assurance。<br>类别：课程与 AI 基础<br>备注：常见缩写,Question and Answering / Question Answering,问答,系统根据文本、图像、视频或检索结果回答用户问题。本讲义中 QA 主要指问答，而不是 Quality Assurance。,课程与 AI 基础,常见缩写
LiDAR,英文全称：Light Detection and Ranging<br>中文全称：激光雷达<br>含义：通过激光测距获得三维空间信息，常与相机数据融合，用于自动驾驶、机器人和空间感知。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Light Detection and Ranging,激光雷达,通过激光测距获得三维空间信息，常与相机数据融合，用于自动驾驶、机器人和空间感知。,多模态、视觉与传感器,严格缩写
2D,英文全称：Two-Dimensional<br>中文全称：二维<br>含义：平面数据或二维坐标，例如图像中的像素位置。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Two-Dimensional,二维,平面数据或二维坐标，例如图像中的像素位置。,多模态、视觉与传感器,严格缩写
3D,英文全称：Three-Dimensional<br>中文全称：三维<br>含义：三维空间数据，例如点云、物体三维位置和深度信息。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Three-Dimensional,三维,三维空间数据，例如点云、物体三维位置和深度信息。,多模态、视觉与传感器,严格缩写
BEV,英文全称：Bird’s-Eye View<br>中文全称：鸟瞰图 / 俯视图<br>含义：从上往下观察场景的统一空间表示，常用于自动驾驶和多传感器融合。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Bird’s-Eye View,鸟瞰图 / 俯视图,从上往下观察场景的统一空间表示，常用于自动驾驶和多传感器融合。,多模态、视觉与传感器,严格缩写
BEVFusion,英文全称：Bird’s-Eye-View Fusion<br>中文全称：鸟瞰图融合<br>含义：把相机、LiDAR 等模态统一到 BEV 空间后再进行融合的多模态感知方法或模型名称。<br>类别：多模态、视觉与传感器<br>备注：模型/方法名,Bird’s-Eye-View Fusion,鸟瞰图融合,把相机、LiDAR 等模态统一到 BEV 空间后再进行融合的多模态感知方法或模型名称。,多模态、视觉与传感器,模型/方法名
CV,英文全称：Computer Vision<br>中文全称：计算机视觉<br>含义：让机器理解图像、视频和视觉场景的技术领域。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Computer Vision,计算机视觉,让机器理解图像、视频和视觉场景的技术领域。,多模态、视觉与传感器,严格缩写
VLM,英文全称：Vision-Language Model / Visual Language Model<br>中文全称：视觉语言模型<br>含义：能同时处理图像/视频和文本的模型，可用于看图问答、视频理解和文档理解。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Vision-Language Model / Visual Language Model,视觉语言模型,能同时处理图像/视频和文本的模型，可用于看图问答、视频理解和文档理解。,多模态、视觉与传感器,严格缩写
LLM,英文全称：Large Language Model<br>中文全称：大语言模型<br>含义：以文本理解、推理和生成为核心能力的大规模语言模型。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Large Language Model,大语言模型,以文本理解、推理和生成为核心能力的大规模语言模型。,多模态、视觉与传感器,严格缩写
VILA,英文全称：Vision Language Assistant<br>中文全称：视觉语言助手<br>含义：NVIDIA 相关视觉语言模型/研究中的模型名，用于说明 VLM 预训练与图文/视频理解。<br>类别：多模态、视觉与传感器<br>备注：模型名,Vision Language Assistant,视觉语言助手,NVIDIA 相关视觉语言模型/研究中的模型名，用于说明 VLM 预训练与图文/视频理解。,多模态、视觉与传感器,模型名
CLIP,英文全称：Contrastive Language-Image Pre-training<br>中文全称：对比式语言-图像预训练<br>含义：通过图像—文本对比学习，把图像和文本映射到共享向量空间，支持跨模态检索和零样本分类。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Contrastive Language-Image Pre-training,对比式语言-图像预训练,通过图像—文本对比学习，把图像和文本映射到共享向量空间，支持跨模态检索和零样本分类。,多模态、视觉与传感器,严格缩写
RT-DETR,英文全称：Real-Time Detection Transformer<br>中文全称：实时检测 Transformer<br>含义：实时目标检测模型，可在视频分析或视觉检测组件中使用。<br>类别：多模态、视觉与传感器<br>备注：模型缩写,Real-Time Detection Transformer,实时检测 Transformer,实时目标检测模型，可在视频分析或视觉检测组件中使用。,多模态、视觉与传感器,模型缩写
DINO,英文全称：DETR with Improved deNoising anchOr boxes<br>中文全称：改进去噪锚框检测 Transformer<br>含义：在 Grounding DINO 等模型名中出现，常用于开放词汇目标检测或视觉定位。<br>类别：多模态、视觉与传感器<br>备注：模型缩写,DETR with Improved deNoising anchOr boxes,改进去噪锚框检测 Transformer,在 Grounding DINO 等模型名中出现，常用于开放词汇目标检测或视觉定位。,多模态、视觉与传感器,模型缩写
Sparse4D,英文全称：Sparse 4D<br>中文全称：稀疏四维感知模型<br>含义：模型/方法名，常用于时空目标检测或自动驾驶场景理解；不是普通英文短语缩写。<br>类别：多模态、视觉与传感器<br>备注：模型/方法名,Sparse 4D,稀疏四维感知模型,模型/方法名，常用于时空目标检测或自动驾驶场景理解；不是普通英文短语缩写。,多模态、视觉与传感器,模型/方法名
OCR,英文全称：Optical Character Recognition<br>中文全称：光学字符识别<br>含义：从图片、扫描件或 PDF 页面中识别文字，是文档理解和 PDF 问答的基础环节。<br>类别：文档、检索与知识增强<br>备注：严格缩写,Optical Character Recognition,光学字符识别,从图片、扫描件或 PDF 页面中识别文字，是文档理解和 PDF 问答的基础环节。,文档、检索与知识增强,严格缩写
PDF,英文全称：Portable Document Format<br>中文全称：便携式文档格式<br>含义：常见文档格式，课程中用于说明 OCR、文档解析和 RAG 数据接入。<br>类别：文档、检索与知识增强<br>备注：严格缩写,Portable Document Format,便携式文档格式,常见文档格式，课程中用于说明 OCR、文档解析和 RAG 数据接入。,文档、检索与知识增强,严格缩写
RAG,英文全称：Retrieval-Augmented Generation<br>中文全称：检索增强生成<br>含义：先从文档、向量库或知识库检索相关内容，再让 LLM 基于证据生成回答。<br>类别：文档、检索与知识增强<br>备注：严格缩写,Retrieval-Augmented Generation,检索增强生成,先从文档、向量库或知识库检索相关内容，再让 LLM 基于证据生成回答。,文档、检索与知识增强,严格缩写
ANN,英文全称：Approximate Nearest Neighbor<br>中文全称：近似最近邻<br>含义：用于大规模向量检索的近似搜索方法，用少量精度损失换取更高速度。<br>类别：文档、检索与知识增强<br>备注：严格缩写,Approximate Nearest Neighbor,近似最近邻,用于大规模向量检索的近似搜索方法，用少量精度损失换取更高速度。,文档、检索与知识增强,严格缩写
Faiss,英文全称：Facebook AI Similarity Search<br>中文全称：Facebook AI 相似度搜索库<br>含义：常用向量检索库，可用于 embedding 建索引和 Top-K 相似样本检索。<br>类别：文档、检索与知识增强<br>备注：库名/缩写,Facebook AI Similarity Search,Facebook AI 相似度搜索库,常用向量检索库，可用于 embedding 建索引和 Top-K 相似样本检索。,文档、检索与知识增强,库名/缩写
Top-K,英文全称：Top K Results<br>中文全称：前 K 个结果<br>含义：检索或排序中返回最相关的 K 个结果，例如 Top-3、Top-5。<br>类别：文档、检索与知识增强<br>备注：检索术语,Top K Results,前 K 个结果,检索或排序中返回最相关的 K 个结果，例如 Top-3、Top-5。,文档、检索与知识增强,检索术语
Recall@K / R@K,英文全称：Recall at K<br>中文全称：K 个结果内召回率<br>含义：衡量正确答案是否出现在前 K 个检索结果中的指标。<br>类别：文档、检索与知识增强<br>备注：评估指标,Recall at K,K 个结果内召回率,衡量正确答案是否出现在前 K 个检索结果中的指标。,文档、检索与知识增强,评估指标
MRR,英文全称：Mean Reciprocal Rank<br>中文全称：平均倒数排名<br>含义：衡量正确答案在检索结果中排名靠前程度的指标。<br>类别：文档、检索与知识增强<br>备注：严格缩写,Mean Reciprocal Rank,平均倒数排名,衡量正确答案在检索结果中排名靠前程度的指标。,文档、检索与知识增强,严格缩写
Grounded QA,英文全称：Grounded Question Answering<br>中文全称：有证据支撑的问答<br>含义：回答必须基于检索到的文本、图像、视频片段或文档证据，而不是自由发挥。<br>类别：文档、检索与知识增强<br>备注：术语,Grounded Question Answering,有证据支撑的问答,回答必须基于检索到的文本、图像、视频片段或文档证据，而不是自由发挥。,文档、检索与知识增强,术语
CE,英文全称：Cross Entropy<br>中文全称：交叉熵<br>含义：分类任务和对比学习中常见损失函数，用来衡量预测分布与真实标签的差异。<br>类别：模型训练、网络结构与数学指标<br>备注：严格缩写,Cross Entropy,交叉熵,分类任务和对比学习中常见损失函数，用来衡量预测分布与真实标签的差异。,模型训练、网络结构与数学指标,严格缩写
MLP,英文全称：Multi-Layer Perceptron<br>中文全称：多层感知机<br>含义：由多层全连接网络组成的简单神经网络结构，可作为 projector 或分类头。<br>类别：模型训练、网络结构与数学指标<br>备注：严格缩写,Multi-Layer Perceptron,多层感知机,由多层全连接网络组成的简单神经网络结构，可作为 projector 或分类头。,模型训练、网络结构与数学指标,严格缩写
ReLU,"英文全称：Rectified Linear Unit<br>中文全称：修正线性单元<br>含义：常用激活函数，形式为 max(0, x)。<br>类别：模型训练、网络结构与数学指标<br>备注：严格缩写",Rectified Linear Unit,修正线性单元,"常用激活函数，形式为 max(0, x)。",模型训练、网络结构与数学指标,严格缩写
GELU,英文全称：Gaussian Error Linear Unit<br>中文全称：高斯误差线性单元<br>含义：Transformer 和现代神经网络中常用的平滑激活函数。<br>类别：模型训练、网络结构与数学指标<br>备注：严格缩写,Gaussian Error Linear Unit,高斯误差线性单元,Transformer 和现代神经网络中常用的平滑激活函数。,模型训练、网络结构与数学指标,严格缩写
logits,英文全称：Logits<br>中文全称：未归一化预测分数<br>含义：模型在 softmax 前输出的原始分数。不是缩写，但讲义代码中常出现。<br>类别：模型训练、网络结构与数学指标<br>备注：非缩写术语,Logits,未归一化预测分数,模型在 softmax 前输出的原始分数。不是缩写，但讲义代码中常出现。,模型训练、网络结构与数学指标,非缩写术语
embedding,英文全称：Embedding<br>中文全称：嵌入向量<br>含义：把文本、图像、视频或文档片段表示成向量，便于相似度计算和检索。<br>类别：模型训练、网络结构与数学指标<br>备注：非缩写术语,Embedding,嵌入向量,把文本、图像、视频或文档片段表示成向量，便于相似度计算和检索。,模型训练、网络结构与数学指标,非缩写术语
token,英文全称：Token<br>中文全称：词元 / 标记<br>含义：语言模型处理文本或视觉输入的基本单位。<br>类别：模型训练、网络结构与数学指标<br>备注：非缩写术语,Token,词元 / 标记,语言模型处理文本或视觉输入的基本单位。,模型训练、网络结构与数学指标,非缩写术语
NVIDIA,英文全称：NVIDIA<br>中文全称：英伟达<br>含义：公司/品牌名，不建议当作普通缩写展开。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：品牌名,NVIDIA,英伟达,公司/品牌名，不建议当作普通缩写展开。,NVIDIA 产品、蓝图与平台,品牌名
VSS,英文全称：Video Search and Summarization<br>中文全称：视频搜索与摘要<br>含义：NVIDIA 视频搜索与摘要蓝图，用于视频上传、检索、问答、总结、报告生成和视频智能体构建。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：严格缩写,Video Search and Summarization,视频搜索与摘要,NVIDIA 视频搜索与摘要蓝图，用于视频上传、检索、问答、总结、报告生成和视频智能体构建。,NVIDIA 产品、蓝图与平台,严格缩写
VSS Agent,英文全称：Video Search and Summarization Agent<br>中文全称：视频搜索与摘要智能体<br>含义：基于 VSS 的视频分析智能体，可进行视频搜索、摘要、报告生成和视频内容问答。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：术语,Video Search and Summarization Agent,视频搜索与摘要智能体,基于 VSS 的视频分析智能体，可进行视频搜索、摘要、报告生成和视频内容问答。,NVIDIA 产品、蓝图与平台,术语
NIM,英文全称：NVIDIA Inference Microservice / NVIDIA NIM<br>中文全称：NVIDIA 推理微服务<br>含义：NVIDIA 预构建、优化好的 AI 推理微服务，用容器和标准 API 简化模型部署。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：产品缩写,NVIDIA Inference Microservice / NVIDIA NIM,NVIDIA 推理微服务,NVIDIA 预构建、优化好的 AI 推理微服务，用容器和标准 API 简化模型部署。,NVIDIA 产品、蓝图与平台,产品缩写
NeMo,英文全称：Neural Modules / NVIDIA NeMo<br>中文全称：NVIDIA 神经模块 / NeMo 框架<br>含义：NVIDIA 的 AI 模型、训练和检索相关工具体系名称；在讲义中主要出现在 NeMo Retriever OCR。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：产品名/框架名,Neural Modules / NVIDIA NeMo,NVIDIA 神经模块 / NeMo 框架,NVIDIA 的 AI 模型、训练和检索相关工具体系名称；在讲义中主要出现在 NeMo Retriever OCR。,NVIDIA 产品、蓝图与平台,产品名/框架名
Nemotron Parse,英文全称：NVIDIA Nemotron Parse<br>中文全称：NVIDIA Nemotron 文档解析<br>含义：用于扫描件或复杂版式 PDF 的高精度文本抽取和文档解析能力。不是严格缩写，但在讲义中应作为关键术语掌握。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：产品/模型名,NVIDIA Nemotron Parse,NVIDIA Nemotron 文档解析,用于扫描件或复杂版式 PDF 的高精度文本抽取和文档解析能力。不是严格缩写，但在讲义中应作为关键术语掌握。,NVIDIA 产品、蓝图与平台,产品/模型名
NGC,英文全称：NVIDIA GPU Cloud<br>中文全称：NVIDIA GPU 云<br>含义：NVIDIA 的容器、模型、Helm chart 等资源平台，课程部署命令中可能用到 NGC API Key。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：严格缩写,NVIDIA GPU Cloud,NVIDIA GPU 云,NVIDIA 的容器、模型、Helm chart 等资源平台，课程部署命令中可能用到 NGC API Key。,NVIDIA 产品、蓝图与平台,严格缩写
CLI,英文全称：Command-Line Interface<br>中文全称：命令行界面<br>含义：通过终端命令操作工具或服务，例如 NGC CLI。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：严格缩写,Command-Line Interface,命令行界面,通过终端命令操作工具或服务，例如 NGC CLI。,NVIDIA 产品、蓝图与平台,严格缩写
NVCR,英文全称：NVIDIA Container Registry<br>中文全称：NVIDIA 容器注册库<br>含义：NVIDIA 容器镜像仓库，镜像地址常以 nvcr.io 开头。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：严格缩写,NVIDIA Container Registry,NVIDIA 容器注册库,NVIDIA 容器镜像仓库，镜像地址常以 nvcr.io 开头。,NVIDIA 产品、蓝图与平台,严格缩写
MCP,英文全称：Model Context Protocol<br>中文全称：模型上下文协议<br>含义：用于让智能体连接外部工具、服务或数据源的协议。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：严格缩写,Model Context Protocol,模型上下文协议,用于让智能体连接外部工具、服务或数据源的协议。,NVIDIA 产品、蓝图与平台,严格缩写
DeepStream,英文全称：NVIDIA DeepStream SDK<br>中文全称：NVIDIA 视频流分析 SDK<br>含义：NVIDIA 的视频流分析开发工具，用于实时视频分析、目标检测和边缘视觉应用。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：产品名,NVIDIA DeepStream SDK,NVIDIA 视频流分析 SDK,NVIDIA 的视频流分析开发工具，用于实时视频分析、目标检测和边缘视觉应用。,NVIDIA 产品、蓝图与平台,产品名
Riva,英文全称：NVIDIA Riva<br>中文全称：NVIDIA 语音 AI SDK<br>含义：NVIDIA 的语音识别和语音合成服务体系；不是严格缩写。<br>类别：NVIDIA 产品、蓝图与平台<br>备注：产品名,NVIDIA Riva,NVIDIA 语音 AI SDK,NVIDIA 的语音识别和语音合成服务体系；不是严格缩写。,NVIDIA 产品、蓝图与平台,产品名
HTTP,英文全称：HyperText Transfer Protocol<br>中文全称：超文本传输协议<br>含义：Web 服务和 API 请求常用协议，OCR 或模型服务调用常使用 HTTP endpoint。<br>类别：系统、数据格式与开发工具<br>备注：严格缩写,HyperText Transfer Protocol,超文本传输协议,Web 服务和 API 请求常用协议，OCR 或模型服务调用常使用 HTTP endpoint。,系统、数据格式与开发工具,严格缩写
REST,英文全称：Representational State Transfer<br>中文全称：表述性状态转移<br>含义：常见 Web API 设计风格，通常与 HTTP API 一起使用。<br>类别：系统、数据格式与开发工具<br>备注：严格缩写,Representational State Transfer,表述性状态转移,常见 Web API 设计风格，通常与 HTTP API 一起使用。,系统、数据格式与开发工具,严格缩写
JSON,英文全称：JavaScript Object Notation<br>中文全称：JavaScript 对象表示法<br>含义：常用结构化数据格式，API 返回结果、配置和日志中常见。<br>类别：系统、数据格式与开发工具<br>备注：严格缩写,JavaScript Object Notation,JavaScript 对象表示法,常用结构化数据格式，API 返回结果、配置和日志中常见。,系统、数据格式与开发工具,严格缩写
YAML,英文全称：YAML Ain’t Markup Language<br>中文全称：YAML 标记语言<br>含义：常用配置文件格式，例如 environment.yml。<br>类别：系统、数据格式与开发工具<br>备注：递归缩写,YAML Ain’t Markup Language,YAML 标记语言,常用配置文件格式，例如 environment.yml。,系统、数据格式与开发工具,递归缩写
CSV,英文全称：Comma-Separated Values<br>中文全称：逗号分隔值<br>含义：表格数据文本格式，常用于保存 camera.csv、lidar.csv 等实验数据。<br>类别：系统、数据格式与开发工具<br>备注：严格缩写,Comma-Separated Values,逗号分隔值,表格数据文本格式，常用于保存 camera.csv、lidar.csv 等实验数据。,系统、数据格式与开发工具,严格缩写
HTML,英文全称：HyperText Markup Language<br>中文全称：超文本标记语言<br>含义：网页结构语言，本学习系统使用 HTML 构建。<br>类别：系统、数据格式与开发工具<br>备注：严格缩写,HyperText Markup Language,超文本标记语言,网页结构语言，本学习系统使用 HTML 构建。,系统、数据格式与开发工具,严格缩写
URL,英文全称：Uniform Resource Locator<br>中文全称：统一资源定位符<br>含义：网页、API endpoint、模型服务地址等链接。<br>类别：系统、数据格式与开发工具<br>备注：严格缩写,Uniform Resource Locator,统一资源定位符,网页、API endpoint、模型服务地址等链接。,系统、数据格式与开发工具,严格缩写
endpoint,英文全称：Endpoint<br>中文全称：服务端点<br>含义：API 或模型服务的访问地址。不是缩写，但在部署和调用服务时常见。<br>类别：系统、数据格式与开发工具<br>备注：非缩写术语,Endpoint,服务端点,API 或模型服务的访问地址。不是缩写，但在部署和调用服务时常见。,系统、数据格式与开发工具,非缩写术语
Docker,英文全称：Docker<br>中文全称：容器化平台<br>含义：用于打包和运行服务容器；不是缩写。<br>类别：系统、数据格式与开发工具<br>备注：产品/工具名,Docker,容器化平台,用于打包和运行服务容器；不是缩写。,系统、数据格式与开发工具,产品/工具名
Helm,英文全称：Helm<br>中文全称：Kubernetes 包管理工具<br>含义：用于部署 Kubernetes 应用；不是缩写。<br>类别：系统、数据格式与开发工具<br>备注：工具名,Helm,Kubernetes 包管理工具,用于部署 Kubernetes 应用；不是缩写。,系统、数据格式与开发工具,工具名
Kubernetes / K8s,英文全称：Kubernetes<br>中文全称：容器编排系统<br>含义：大规模部署容器化服务的系统；K8s 是常见缩写写法。<br>类别：系统、数据格式与开发工具<br>备注：工具名/缩写,Kubernetes,容器编排系统,大规模部署容器化服务的系统；K8s 是常见缩写写法。,系统、数据格式与开发工具,工具名/缩写
GPU,英文全称：Graphics Processing Unit<br>中文全称：图形处理器<br>含义：深度学习训练和推理的核心加速硬件。<br>类别：硬件、计算资源与单位<br>备注：严格缩写,Graphics Processing Unit,图形处理器,深度学习训练和推理的核心加速硬件。,硬件、计算资源与单位,严格缩写
CPU,英文全称：Central Processing Unit<br>中文全称：中央处理器<br>含义：通用计算处理器，负责系统控制和一般计算任务。<br>类别：硬件、计算资源与单位<br>备注：严格缩写,Central Processing Unit,中央处理器,通用计算处理器，负责系统控制和一般计算任务。,硬件、计算资源与单位,严格缩写
RAM,英文全称：Random Access Memory<br>中文全称：随机存取存储器 / 内存<br>含义：程序运行时使用的主内存。<br>类别：硬件、计算资源与单位<br>备注：严格缩写,Random Access Memory,随机存取存储器 / 内存,程序运行时使用的主内存。,硬件、计算资源与单位,严格缩写
SSD,英文全称：Solid-State Drive<br>中文全称：固态硬盘<br>含义：高速存储设备，用于保存数据集、模型权重和索引。<br>类别：硬件、计算资源与单位<br>备注：严格缩写,Solid-State Drive,固态硬盘,高速存储设备，用于保存数据集、模型权重和索引。,硬件、计算资源与单位,严格缩写
GB,英文全称：Gigabyte<br>中文全称：吉字节<br>含义：存储容量单位，约等于 10⁹ 字节；在内存、显存和硬盘容量中常见。<br>类别：硬件、计算资源与单位<br>备注：单位缩写,Gigabyte,吉字节,存储容量单位，约等于 10⁹ 字节；在内存、显存和硬盘容量中常见。,硬件、计算资源与单位,单位缩写
TB,英文全称：Terabyte<br>中文全称：太字节<br>含义：存储容量单位，约等于 10¹² 字节。<br>类别：硬件、计算资源与单位<br>备注：单位缩写,Terabyte,太字节,存储容量单位，约等于 10¹² 字节。,硬件、计算资源与单位,单位缩写
Gbps,英文全称：Gigabits per second<br>中文全称：吉比特每秒<br>含义：网络带宽单位，例如 1 Gbps 网口。<br>类别：硬件、计算资源与单位<br>备注：单位缩写,Gigabits per second,吉比特每秒,网络带宽单位，例如 1 Gbps 网口。,硬件、计算资源与单位,单位缩写
MB,英文全称：Megabyte<br>中文全称：兆字节<br>含义：存储容量单位，讲义中 GPU memory 配置可能以 MB 表示。<br>类别：硬件、计算资源与单位<br>备注：单位缩写,Megabyte,兆字节,存储容量单位，讲义中 GPU memory 配置可能以 MB 表示。,硬件、计算资源与单位,单位缩写
H100,英文全称：NVIDIA H100 Tensor Core GPU<br>中文全称：NVIDIA H100 GPU<br>含义：NVIDIA 数据中心 GPU 型号，不是普通缩写。<br>类别：硬件、计算资源与单位<br>备注：硬件型号,NVIDIA H100 Tensor Core GPU,NVIDIA H100 GPU,NVIDIA 数据中心 GPU 型号，不是普通缩写。,硬件、计算资源与单位,硬件型号
A100,英文全称：NVIDIA A100 Tensor Core GPU<br>中文全称：NVIDIA A100 GPU<br>含义：NVIDIA 数据中心 GPU 型号，不是普通缩写。<br>类别：硬件、计算资源与单位<br>备注：硬件型号,NVIDIA A100 Tensor Core GPU,NVIDIA A100 GPU,NVIDIA 数据中心 GPU 型号，不是普通缩写。,硬件、计算资源与单位,硬件型号
L40S,英文全称：NVIDIA L40S GPU<br>中文全称：NVIDIA L40S GPU<br>含义：NVIDIA 数据中心/图形与推理 GPU 型号，不是普通缩写。<br>类别：硬件、计算资源与单位<br>备注：硬件型号,NVIDIA L40S GPU,NVIDIA L40S GPU,NVIDIA 数据中心/图形与推理 GPU 型号，不是普通缩写。,硬件、计算资源与单位,硬件型号
B200,英文全称：NVIDIA B200 GPU<br>中文全称：NVIDIA B200 GPU<br>含义：NVIDIA Blackwell 架构相关 GPU 型号，不是普通缩写。<br>类别：硬件、计算资源与单位<br>备注：硬件型号,NVIDIA B200 GPU,NVIDIA B200 GPU,NVIDIA Blackwell 架构相关 GPU 型号，不是普通缩写。,硬件、计算资源与单位,硬件型号
RTX,英文全称：NVIDIA RTX<br>中文全称：NVIDIA RTX 图形与 AI 加速产品线<br>含义：NVIDIA 图形与 AI 加速产品线名称，常见于 RTX GPU。课堂中不建议强行按普通缩写展开。<br>类别：硬件、计算资源与单位<br>备注：产品线名称,NVIDIA RTX,NVIDIA RTX 图形与 AI 加速产品线,NVIDIA 图形与 AI 加速产品线名称，常见于 RTX GPU。课堂中不建议强行按普通缩写展开。,硬件、计算资源与单位,产品线名称
DGX,英文全称：NVIDIA DGX<br>中文全称：NVIDIA DGX AI 系统<br>含义：NVIDIA 面向 AI 训练和推理的高性能系统产品线。<br>类别：硬件、计算资源与单位<br>备注：产品线名称,NVIDIA DGX,NVIDIA DGX AI 系统,NVIDIA 面向 AI 训练和推理的高性能系统产品线。,硬件、计算资源与单位,产品线名称
IGX,英文全称：NVIDIA IGX<br>中文全称：NVIDIA 工业边缘 AI 平台<br>含义：NVIDIA 面向工业、机器人、医疗等边缘 AI 的平台名称，不建议强行展开。<br>类别：硬件、计算资源与单位<br>备注：平台名,NVIDIA IGX,NVIDIA 工业边缘 AI 平台,NVIDIA 面向工业、机器人、医疗等边缘 AI 的平台名称，不建议强行展开。,硬件、计算资源与单位,平台名
AGX,英文全称：NVIDIA AGX<br>中文全称：NVIDIA 自主机器平台<br>含义：NVIDIA 面向机器人、边缘 AI 和自主机器的计算平台名称。<br>类别：硬件、计算资源与单位<br>备注：平台名,NVIDIA AGX,NVIDIA 自主机器平台,NVIDIA 面向机器人、边缘 AI 和自主机器的计算平台名称。,硬件、计算资源与单位,平台名
PPT,英文全称：PowerPoint Presentation<br>中文全称：演示文稿<br>含义：课程课件常用格式，讲义可拆成章节 PPT。<br>类别：文件、课件与输出物<br>备注：常见缩写,PowerPoint Presentation,演示文稿,课程课件常用格式，讲义可拆成章节 PPT。,文件、课件与输出物,常见缩写
Markdown / MD,英文全称：Markdown<br>中文全称：轻量级标记语言<br>含义：用纯文本写结构化文档的格式，VSS 报告和教学材料可导出为 Markdown。<br>类别：文件、课件与输出物<br>备注：格式名/缩写,Markdown,轻量级标记语言,用纯文本写结构化文档的格式，VSS 报告和教学材料可导出为 Markdown。,文件、课件与输出物,格式名/缩写
Jupyter,英文全称：Jupyter Notebook<br>中文全称：交互式计算笔记本<br>含义：用于运行 Python 代码、展示实验过程和记录结果。不是缩写。<br>类别：文件、课件与输出物<br>备注：工具名,Jupyter Notebook,交互式计算笔记本,用于运行 Python 代码、展示实验过程和记录结果。不是缩写。,文件、课件与输出物,工具名
